split,data_seed,trajectory_index,half_cycle_index,history_length,history_sha256,latest_observed_outcome,teacher_student_squared_error,teacher_latest_squared_error,scope,offline_teacher_target_layer1_phi,student_prediction_layer1_phi,offline_teacher_target_layer1_theta,student_prediction_layer1_theta,offline_teacher_target_layer1_beta_real,student_prediction_layer1_beta_real,offline_teacher_target_layer1_beta_imag,student_prediction_layer1_beta_imag,offline_teacher_target_layer2_phi,student_prediction_layer2_phi,offline_teacher_target_layer2_theta,student_prediction_layer2_theta,offline_teacher_target_layer2_beta_real,student_prediction_layer2_beta_real,offline_teacher_target_layer2_beta_imag,student_prediction_layer2_beta_imag,offline_teacher_target_layer3_phi,student_prediction_layer3_phi,offline_teacher_target_layer3_theta,student_prediction_layer3_theta,offline_teacher_target_layer3_beta_real,student_prediction_layer3_beta_real,offline_teacher_target_layer3_beta_imag,student_prediction_layer3_beta_imag,offline_teacher_target_layer4_phi,student_prediction_layer4_phi,offline_teacher_target_layer4_theta,student_prediction_layer4_theta,offline_teacher_target_virtual_rotation,student_prediction_virtual_rotation
training,20261501,0,15,15,5322fecfc92a5e3248a297a3df3eddfb9bd9049504272e4f572b87fa36d4b3bd,g,4.895608003405116e-08,0.00020023840463737492,offline_teacher_target_distillation_source_data,0.2447530981796188,0.24426208076863393,0.01588183739968661,0.015794481122845285,-0.05009306610401404,-0.050144088740392015,0.13169168267951759,0.13153087580752454,0.12152435454218123,0.12127466514970317,0.05818227474992921,0.058129414321499775,0.019953230917077906,0.019743117274722548,0.04342355909874432,0.04340581549677626,-0.0567690565383056,-0.05669387995876852,-0.05811878082797185,-0.057817042040297695,0.02698447726228217,0.026820017333274025,0.10102703327922083,0.10127182034448037,0.10133081621772858,0.10114068368442766,-0.014755407079702862,-0.014930488524427122,0.0019501484512611902,0.001638573827587423
training,20261501,0,16,16,374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb,g,5.063661357020443e-08,0.000200710460216878,offline_teacher_target_distillation_source_data,0.24479881927087127,0.24430510188979832,0.01588362422531946,0.015795179671652115,-0.050101631674787976,-0.05015445883071769,0.131712580086396,0.13155017049112458,0.12154410305656696,0.12129300957805422,0.058191958495145385,0.05813915197526792,0.019957437352679352,0.01974416024247272,0.0434318242537594,0.043426562275392905,-0.05677803497470192,-0.05670370583690568,-0.05812684935822703,-0.05782045394631629,0.02698920103935939,0.026822247517425735,0.10104716143878806,0.10131861439762532,0.10135510955504341,0.10116288895126554,-0.014753185577745315,-0.014930842148970891,0.0019515748577854871,0.0016385616390722085
training,20261501,0,17,17,0a88111852095cae045340ea1f0b279944b2a756a213d9b50107d7489771e159,g,5.189394554903656e-08,0.0002010063661711783,offline_teacher_target_distillation_source_data,0.24482745821644425,0.24433196825956005,0.01588472965238127,0.0157955711227677,-0.0501069995264079,-0.05016115463957428,0.13172562157012668,0.13156219452311751,0.12155638639513465,0.1213043787832408,0.05819797966928027,0.058145256078837845,0.019960075569390556,0.019744722961055207,0.043436974546432666,0.043441080394085785,-0.05678358104185969,-0.05670984504577137,-0.05813180552510833,-0.05782237453776507,0.02699215531940845,0.026823543309281175,0.10105980418170762,0.10135101518238135,0.10137056364469217,0.10117698619058987,-0.014751611495474413,-0.01493103399590031,0.0019524737920067878,0.0016385562951635926
training,20261501,0,18,18,60daa3a5f7dbfa200f8c82840ecf5b42640b70f3b7218a4c6bbd67db542e75a4,g,5.2814295347511794e-08,0.0002011915327433018,offline_teacher_target_distillation_source_data,0.24484537260152692,0.24434874610738544,0.01588541290098995,0.01579579048321094,-0.05011035884405801,-0.050165478021033466,0.1317337473559386,0.13156968764134447,0.12156401887288215,0.12131142500044098,0.058201718266397244,0.058149082470829144,0.019961728991898214,0.019745026567952954,0.04344017804981901,0.04345123983976529,-0.05678700600796081,-0.056713680823599115,-0.05813484681336725,-0.05782345565532605,0.026994000994490643,0.026824296196226113,0.10106773189884861,0.10137344988897865,0.10138037490268684,0.10118593596624531,-0.014750520218080418,-0.014931138075905435,0.001953038632972495,0.0016385539521908193
training,20261501,0,19,19,d6fd62f5ce537d90ea3ea45841b17f34d727bcbc4128748cba14fb87c0ffd9d1,g,5.3477152901712324e-08,0.0002013072134124352,offline_teacher_target_distillation_source_data,0.2448565624672545,0.2443592237483972,0.015885834752127757,0.015795913407893342,-0.0501124583241207,-0.05016826956237551,0.13173880215298026,0.131574357191525,0.12156875657223319,0.12131579198793194,0.058204036307836216,0.05815148106638103,0.019962763984917517,0.01974519037478505,0.043442167240400106,0.043458349186278986,-0.05678912066160818,-0.05671607741766615,-0.058136710879908106,-0.05782406422576481,0.026995152604964514,0.0268247336420624,0.10107269506968689,0.10138898395902965,0.1013865911055565,0.10119161782227681,-0.014749777422174051,-0.01493119454096067,0.0019533926563493273,0.0016385529249424492
training,20261501,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,none,4.727153316489504e-07,2.530521483647923e-32,offline_teacher_target_distillation_source_data,0.10940769765753414,0.11066962601373732,0.006483859568254927,0.0063792286015897206,-0.02913511872006562,-0.02946788963792808,0.0689537146454493,0.06990624144487682,0.05765861315792151,0.05821824961279425,0.029119702501004364,0.029377284671967662,-0.00388889198163285,-0.0039557710182667166,0.028701873547235853,0.02884938790792417,-0.026132002582426136,-0.026381642915260368,-0.014707552586256285,-0.014587813881395685,0.008596520331406806,0.008492304252768687,0.06180304082121701,0.06368855543982156,0.04522785089569843,0.045761188670830455,-0.007757976493585373,-0.007484291785964223,0.00699069674067287,0.006742777357445879
training,20261501,1,1,1,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,e,1.0430904842595644e-06,0.0002563318465301545,offline_teacher_target_distillation_source_data,0.08348468292624833,0.08218067347843461,0.003938064546687373,0.003994040850890747,-0.02771423886572746,-0.0268972974628906,0.06009092044895741,0.05868814249669215,0.04623090695652478,0.045433223134291344,0.02482116730185821,0.02426400229416587,-0.013641539697877028,-0.013336797637625878,0.030522365115239578,0.029019295343268373,-0.021411711316342865,-0.02087484067373712,-0.0015844264825170852,-0.0018705595059360092,0.002928178348661353,0.0030901900164257675,0.0627174695674392,0.059997168027708714,0.03436612748352899,0.03391962103391732,-0.008469163351517784,-0.008426448692274225,0.010923594504997258,0.011029435216918392
training,20261501,1,2,2,9dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2,e,3.414915235646228e-07,0.0005586448123383185,offline_teacher_target_distillation_source_data,0.061872095692409174,0.06146814881438589,0.002265001222040472,0.002610788882039312,-0.024956425822123936,-0.024923695427746712,0.050914048770335556,0.050150188540240906,0.036404446466741056,0.03612496712853339,0.020543915720289987,0.020510641267323285,-0.018666408243449253,-0.01835435025773642,0.02930601427451165,0.029150055875054016,-0.0169241930623228,-0.016883652130602066,0.006397579677503819,0.005965750093401664,-0.0005415139682131616,-0.0001803330129978352,0.05851512115647198,0.056849656373871536,0.02516087506142059,0.025250248297235087,-0.008149814513975227,-0.008973596861904406,0.012384650686388395,0.01290925332235597
training,20261501,1,3,3,75c8fd04ad916aec3e3d5cb76a452b116b3d4d0912a0a485e9fb8e3d240e210c,e,6.214213082294832e-07,0.0008604176741570574,offline_teacher_target_distillation_source_data,0.04617167539863217,0.046409375508234645,0.0011909096291477666,0.0018085937471822517,-0.022451518259361206,-0.023408439514751758,0.043668788220716195,0.0436520592137673,0.029164801160634964,0.029348005812542852,0.01722237209708953,0.01775551883188346,-0.02130536345025229,-0.021038047396344267,0.027513027944732343,0.0292506890029582,-0.013501483293640837,-0.013990941390648892,0.011211906455698414,0.010794445527470317,-0.0026463398804111114,-0.0021603579473152643,0.05382199761130746,0.05416588777821214,0.018406388150912646,0.018903282595393145,-0.007628586877128328,-0.009291347671270284,0.012851214537270944,0.013733605585908387
training,20261501,1,4,4,27ecd0a598e76f8a2fd264d427df0a119903e8eae384e478902541756f089dd1,e,1.8426756266802628e-06,0.0011067408329855145,offline_teacher_target_distillation_source_data,0.035461548049489075,0.035461089040788284,0.0005125153846666439,0.0013433733470821362,-0.020551476965820863,-0.022245084167026464,0.038500809677659266,0.03870641474684315,0.024180487314201977,0.024413976854806587,0.01487620317388838,0.015733144863597934,-0.022713794890326332,-0.022473454431819112,0.025931861169626903,0.029328136121698746,-0.011109124566083735,-0.01189437909232469,0.01411218977143703,0.013769863905142146,-0.003920008637775486,-0.003359095490285475,0.04997149970913435,0.05187753600475111,0.01377363875654639,0.014256582673274601,-0.007150737548170203,-0.009475878265461824,0.01293882266493201,0.014095106867579366
training,20261501,1,5,5,377a23f52c6b357696238c3318f677a082dd3430bb6691042bd550a5cda28ebb,e,3.1671295120734594e-06,0.0012874618486942526,offline_teacher_target_distillation_source_data,0.028407900792567355,0.02750127889315121,8.937320959374667e-05,0.001073576122859533,-0.019220688720785497,-0.021351904570448606,0.03500115932971014,0.034942346972203914,0.02087516605829738,0.020821711734694753,0.013296981817146761,0.014248638616257235,-0.023477147870469964,-0.023241198797548664,0.024738562004078864,0.029387739319235478,-0.00951192591952839,-0.010374844695039737,0.015861873856966944,0.015603302075568981,-0.004690432747784623,-0.004084829632326278,0.047155353063612654,0.04992634175962445,0.010713676095430391,0.010854670455606502,-0.00677546810275988,-0.009583042556437632,0.01289983347886225,0.014253635184207747
training,20261501,1,6,6,dfea2964b5deedea7b1ef077de529c3959e6788bdbb3441e70c77a1ae875bb48,e,4.401076689240751e-06,0.0014119118642267287,offline_teacher_target_distillation_source_data,0.02386456198243903,0.021714201821792456,-0.0001717909087872887,0.0009171114833412381,-0.018329128010521716,-0.0206661555486189,0.032704038767671806,0.032077562350738956,0.018734398745839532,0.01820633010566341,0.012263694832902981,0.013158949551350111,-0.023897235946990603,-0.023651835917572587,0.02390269442214565,0.029433609859216493,-0.008474659612200534,-0.009273525270199496,0.016919485271464085,0.016733057658852152,-0.005156582637785862,-0.004524200241858268,0.04521385368363246,0.04826262946400251,0.008740396959634073,0.008364084248042003,-0.006500637718085582,-0.00964527714312317,0.012832386912676092,0.014323154238350136
training,20261501,1,7,7,c36336f242c655c52fa06c4d03f665ca9ea0bb84f20f1b1f90976aa58ca40a4a,e,5.629097309442019e-06,0.0014942823800366259,offline_teacher_target_distillation_source_data,0.020981354730518206,0.01750678224661728,-0.0003315304922148221,0.0008263722865606546,-0.01774818422346406,-0.020139663762709176,0.03122648663795903,0.029897210821821882,0.017369405870578492,0.01630217747862632,0.011599546383698674,0.012359072649312632,-0.02413216833511134,-0.023871470019584274,0.02334163749526912,0.029468911764569023,-0.007812718843209146,-0.00847531729432372,0.017560244621385047,0.017429207492834477,-0.005438944161285716,-0.004790201965268517,0.04392146263676029,0.04684404256035779,0.007488728617177563,0.0065406922083842325,-0.006307088856173979,-0.009681419254871888,0.012770547679662387,0.014353640267544415
training,20261501,1,8,8,04abc8821a06e5a30937967d11ad10221cb5ac3b5273e434f1284ee87129a061,e,6.9079869599872995e-06,0.0015474494053971115,offline_teacher_target_distillation_source_data,0.019169650652734738,0.014447832233806948,-0.00042849979198284036,0.0007737495223518588,-0.01737644224299154,-0.01973544357163868,0.030288756377770953,0.028237772707685398,0.016507907590832798,0.014915841661778392,0.011177420059581134,0.011771929877105767,-0.024265920574767338,-0.023988943906902767,0.022974849059231764,0.02949608006304632,-0.007394860583981974,-0.007896796695865986,0.01794963105897922,0.01785817159668538,-0.005610399438464052,-0.0049512434990492855,0.043080040084942546,0.04563446515416327,0.006704065953750638,0.005205762094265217,-0.006174158729357634,-0.009702408423615904,0.012722994102780931,0.014367009235052672
training,20261501,1,9,9,040a5a009f9b9d5e4771742174142e74fa2d3e0aaa3df5717f01ade338d75d0e,e,8.21334840484284e-06,0.0015812363921105458,offline_teacher_target_distillation_source_data,0.018038133536077177,0.012223862170045778,-0.00048701805761094876,0.0007432317812738702,-0.01714134858496302,-0.0194250988193711,0.029698696122894844,0.026974795239085844,0.015967502126178628,0.013906507131664601,0.010910875559395461,0.011340942766368307,-0.02434361643273151,-0.024051776199681157,0.02273902388311025,0.029516988748704516,-0.007132678225002608,-0.007477499854747999,0.01818723085364633,0.01812249716771939,-0.005714942495913086,-0.005048740520008297,0.042539957933602546,0.04460310253702841,0.006216226660393253,0.004228441599920911,-0.006084447802559979,-0.00971459767275629,0.012689300853513587,0.01437287189729372
training,20261501,1,10,10,ffadf8d89d37b3b55fe1847b513cf92e3be87e4c168708c7851845df96fb36be,e,9.481680382353652e-06,0.0016025155395534949,offline_teacher_target_distillation_source_data,0.017333551085919042,0.010606953484453426,-0.0005221882773034839,0.0007255334992754591,-0.01699373378449696,-0.019186828026897924,0.02932920400101126,0.02601355897929307,0.01562949132961373,0.0131716518525185,0.010743086695749636,0.011024580378181778,-0.02438976552828206,-0.02408538279180053,0.022588933661966588,0.02953308004482741,-0.006968575605675893,-0.007173604295211814,0.018332986520721076,0.018285373284567474,-0.005779065596463278,-0.005107766715752448,0.0421963243103457,0.04372369718225262,0.005914593034927022,0.003512931972440709,-0.006024676548779818,-0.00972167645688626,0.012666499572910923,0.014375442836936696
training,20261501,1,11,11,7b0c710c832f5e2d6ba6b0d459531380d8127d86b6ddf9f5e9e7df2f27f16479,e,1.065239830828603e-05,0.001615860140280558,offline_teacher_target_distillation_source_data,0.016895013196088222,0.009431400926375132,-0.0005432823472284765,0.0007152696601238386,-0.01690138504564676,-0.019003892855186548,0.029098272182426155,0.02528197415682988,0.015418136135979262,0.012636633714153595,0.010637502612927494,0.01079235728341723,-0.024417833062106074,-0.024103357673568117,0.022493932846539548,0.029545463884498035,-0.006865830010533623,-0.0069533486146310395,0.018422988253647837,0.018385736746701443,-0.005818695942703309,-0.005143502082328331,0.041978730762963,0.04297386025277701,0.005728673098215124,0.0029890976417584984,-0.005985231740259961,-0.009725787389740417,0.012651497418444586,0.014376570265121376
training,20261501,1,12,12,3ee5f0d83bf791f0fb4d750a5719ce19d6d352ef7e5a4264e4b760f0f9c15014,e,1.1686849671337486e-05,0.0016242221551547125,offline_teacher_target_distillation_source_data,0.016621603513185215,0.008576730635394443,-0.0005559357763981885,0.0007093173086956153,-0.016843662867820474,-0.018863442249798818,0.02895386996098806,0.02472517415370279,0.015285742343174882,0.01224710884238284,0.010570945489489362,0.010621895914570094,-0.024435315737501944,-0.024112971750872084,0.022433921203214236,0.029554994470711634,-0.006801346882903596,-0.006793712965784634,0.018478988644027052,0.018447580218454343,-0.005843408724855508,-0.0051651368227721844,0.041841192604451405,0.042334501602352644,0.005614190779958874,0.0026055914030407353,-0.005959383828813824,-0.009728174772745901,0.012641801933404698,0.014377064673582143
training,20261501,1,13,13,fc1df255dfe9a3d6d2d53746ade768d6cc6578c08b2a4bbc9d6c19153b673791,e,1.2570053923176425e-05,0.0016294714219139406,offline_teacher_target_distillation_source_data,0.016450553797752537,0.007955353648661396,-0.0005635453113492907,0.0007058653364850534,-0.016807536403701126,-0.018755609664248225,0.02886335304872786,0.024301400677322435,0.015202526766517593,0.011963511680253473,0.010528847446860274,0.01049677021034718,-0.024446455421513302,-0.024118113953396796,0.022395985643799524,0.029562329196934734,-0.006760719669585295,-0.006678013155839132,0.018514129187601494,0.018485687861585928,-0.005858971978431615,-0.0051782348273240325,0.04175420620311143,0.041789343758288675,0.005543630061555716,0.0023248212692010893,-0.005942531047195743,-0.009729561221471063,0.012635606797285499,0.014377281485375037
