claim_id,source_group,source_state,publication_state,assertion_polarity,lane_id,evidence_grade,current_layers_json,required_layers_json,placements_json,report_artifacts_json,raw_artifacts_json,code_artifacts_json,artifact_hashes_json,selectors_json,display_target,safe_wording_en,boundary_zh,current_result_json,upgrade_or_revocation_condition,forbidden_wording_json
CNN_AND_HMM_ROLE,V4_FINAL_GATE,CNN_ABLATION_HMM_SOFTWARE_ONLY,META_BOUNDARY,META,,META,"[""PROJECT_NATIVE_SIMULATION""]",[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":true,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.CNN_AND_HMM_ROLE"",""upstream:T6.7.4:claim_registry.CNN_PRIMARY"",""upstream:T6.7.4:scientific_results.rtl.hmm_is_in_rtl"",""upstream:T6.9.1:pareto_decision""]",Fig. 1; ablation Table S7,"CNN/teacher/student remain optional learning ablations, and HMM posterior inference remains a software slow loop; MAP/FSM components own the primary deployable claim.",legacy CNN residual 仅为消融，HMM 仅为软件慢回路。,"{""cnn_state"":""ABLATION_ONLY"",""hmm_is_in_rtl"":false,""selected_hardware_profile"":""route_a_core_no_student""}",A new matched schema/budget performance gate and functional integrated RTL are required for promotion.,"[""CNN-centric decoder"",""HMM implemented on FPGA"",""learning module causes primary LER gain""]"
V5-ALG-LER-10PCT,V5_EARLY_STOP,REVOKED,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-ALG-LER-10PCT""]",Boundary Table S1,The preregistered V5 claim of at least 10% LER reduction was revoked at the causal-headroom gate.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""strict-causal development headroom is below 10%""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-TAIL-CALIBRATION-TELEGRAPH,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-TAIL-CALIBRATION-TELEGRAPH""]",Boundary Table S1,No V5 calibration/telegraph tail experiment was run after the preregistered early stop.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""no V5 candidate entered pilot/formal""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-POSTERIOR-MIXTURE-ACTION,V5_EARLY_STOP,REVOKED,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-POSTERIOR-MIXTURE-ACTION""]",Boundary Table S1,The proposed V5 posterior-mixture action claim was revoked because incremental action-space headroom was below its entry gate.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""incremental action-space upper bound is below 12%""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-UNTOUCHED-FORMAL,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-UNTOUCHED-FORMAL""]",Boundary Table S1,No untouched V5 formal split was accessed or produced.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""formal manifest and outputs intentionally absent""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-QUANTIZED-RETENTION,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-QUANTIZED-RETENTION""]",Boundary Table S1,No V5 quantized-retention result exists because no candidate entered implementation.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""no eligible V5 action to quantize""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-LONG-CXXRTL,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-LONG-CXXRTL""]",Boundary Table S1,The V4 long CXXRTL replay does not qualify a nonexistent V5 design.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""V4 replay cannot substitute for V5 qualification""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-FORMAL-ATOMIC-SAFETY,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-FORMAL-ATOMIC-SAFETY""]",Boundary Table S1,No V5 formal atomic-safety result exists.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""no V5 RTL/profile exists""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-MULTISEED-PR,V5_EARLY_STOP,NOT_RUN_EARLY_STOP,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-MULTISEED-PR""]",Boundary Table S1,No V5 multi-seed place-and-route result exists.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""no V5 RTL/profile exists""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
V5-MEASURED-HARDWARE,V5_EARLY_STOP,BLOCKED,BLOCKED,NEGATIVE,,BLOCKED,[],"[""BOARD_MEASURED""]","{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.V5-MEASURED-HARDWARE""]",Boundary Table S1,V5 board measurement remains blocked and all measured fields remain null.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""T6.9.2 still has 42 null measured fields""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
PHASE6C-READONLY-AUX,V5_EARLY_STOP,ALLOWED_AFTER_THIS_GATE,META_BOUNDARY,META,,META,[],[],"{""abstract"":false,""conclusion"":false,""related_work"":true,""results"":false,""supplement"":true,""title"":false}","[""v5_report""]","[""v5_source""]","[""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""claim_registry.PHASE6C-READONLY-AUX""]",Boundary Table S1,Phase 6C is a read-only secondary evidence layer and cannot rescue or upgrade Phase 6B.,该项服从 T6.10.1 早停，不得用 V4 或 Phase 6C 结果替代。,"{""reason"":""secondary lanes cannot modify or rescue Phase 6B""}",Only a new preregistered route may reopen this claim.,"[""V5 outperforms"",""V5 is state-of-the-art"",""V5 hardware result""]"
