row_type,lane_id,unit_id,metric,value,detail
selection_registry,legacy_student_predecessor,T4.1.5,evaluation_used_for_selection,0,"{""active_claim_role"": ""superseded historical method detail only"", ""candidate_census"": ""3 validation-selected recurrence restarts"", ""evaluation_scope"": ""selected restart only; nonselected evaluation unavailable"", ""evaluation_used_for_selection"": false, ""lane_id"": ""legacy_student_predecessor"", ""parent_task"": ""T4.1.5"", ""selection_stage"": ""minimum validation teacher-action MSE""}"
selection_registry,fresh_teacher,T4.4.1,evaluation_used_for_selection,0,"{""active_claim_role"": ""frozen offline teacher"", ""candidate_census"": ""3 fresh GRU restarts"", ""evaluation_scope"": ""all three restarts on primary and confirmation seeds"", ""evaluation_used_for_selection"": false, ""lane_id"": ""fresh_teacher"", ""parent_task"": ""T4.4.1"", ""selection_stage"": ""maximum validation selection score""}"
selection_registry,low_dimensional_student,T4.4.3,evaluation_used_for_selection,0,"{""active_claim_role"": ""frozen distilled student candidate"", ""candidate_census"": ""1/2/4-state x 3 restarts"", ""evaluation_scope"": ""all validation candidates and best-per-dimension evaluation"", ""evaluation_used_for_selection"": false, ""lane_id"": ""low_dimensional_student"", ""parent_task"": ""T4.4.3"", ""selection_stage"": ""validation-only restart then smallest eligible dimension""}"
selection_registry,gain_retention,T4.4.4,evaluation_used_for_selection,0,"{""active_claim_role"": ""frozen physical retention audit"", ""candidate_census"": ""frozen standard, all 5 MF, teacher, recurrence, student"", ""evaluation_scope"": ""all strategies on all 8 primary and 4 confirmation seeds"", ""evaluation_used_for_selection"": false, ""lane_id"": ""gain_retention"", ""parent_task"": ""T4.4.4"", ""selection_stage"": ""none after parent freeze""}"
nmf_agent,nmf_directional/primary,agent-0,nmf_minus_mf_logical_z_lifetime,0.059318090392404876,"{""agent_index"": 0, ""mf_test_value"": 6.551203501400946, ""mf_training_seed"": 101, ""mf_validation_score"": 0.5521068846077827, ""nmf_test_value"": 6.610521591793351, ""nmf_training_seed"": 101, ""nmf_validation_score"": 0.5724009442107068, ""selected_after_test"": false, ""unit_id"": ""agent-0"", ""value"": 0.059318090392404876}"
nmf_agent,nmf_directional/primary,agent-1,nmf_minus_mf_logical_z_lifetime,0.3013332457473119,"{""agent_index"": 1, ""mf_test_value"": 6.456223938000997, ""mf_training_seed"": 211, ""mf_validation_score"": 0.5526644539386212, ""nmf_test_value"": 6.757557183748309, ""nmf_training_seed"": 211, ""nmf_validation_score"": 0.5694714446376364, ""selected_after_test"": false, ""unit_id"": ""agent-1"", ""value"": 0.3013332457473119}"
nmf_agent,nmf_directional/primary,agent-2,nmf_minus_mf_logical_z_lifetime,0.25721901452195084,"{""agent_index"": 2, ""mf_test_value"": 6.478425092234335, ""mf_training_seed"": 307, ""mf_validation_score"": 0.5588600308717924, ""nmf_test_value"": 6.735644106756286, ""nmf_training_seed"": 307, ""nmf_validation_score"": 0.5660806195312165, ""selected_after_test"": false, ""unit_id"": ""agent-2"", ""value"": 0.25721901452195084}"
nmf_agent,nmf_directional/primary,agent-3,nmf_minus_mf_logical_z_lifetime,0.022475147989322153,"{""agent_index"": 3, ""mf_test_value"": 6.641337859535957, ""mf_training_seed"": 401, ""mf_validation_score"": 0.5579069616853197, ""nmf_test_value"": 6.663813007525279, ""nmf_training_seed"": 401, ""nmf_validation_score"": 0.5856706648016688, ""selected_after_test"": false, ""unit_id"": ""agent-3"", ""value"": 0.022475147989322153}"
nmf_agent,nmf_directional/primary,agent-4,nmf_minus_mf_logical_z_lifetime,0.3902251268489527,"{""agent_index"": 4, ""mf_test_value"": 6.546162886028303, ""mf_training_seed"": 503, ""mf_validation_score"": 0.5641755437180349, ""nmf_test_value"": 6.936388012877256, ""nmf_training_seed"": 503, ""nmf_validation_score"": 0.5866580135554547, ""selected_after_test"": false, ""unit_id"": ""agent-4"", ""value"": 0.3902251268489527}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20011,nmf_minus_mf_logical_z_lifetime,0.16837321276989137,"{""agent_index"": 0, ""evaluation_seed"": 20011, ""mf_value"": 6.615129631271943, ""nmf_value"": 6.783502844041834, ""unit_id"": ""agent-0-seed-20011"", ""value"": 0.16837321276989137}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20021,nmf_minus_mf_logical_z_lifetime,-0.22468469439289152,"{""agent_index"": 0, ""evaluation_seed"": 20021, ""mf_value"": 6.228408771488189, ""nmf_value"": 6.003724077095297, ""unit_id"": ""agent-0-seed-20021"", ""value"": -0.22468469439289152}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20023,nmf_minus_mf_logical_z_lifetime,0.12076233238982503,"{""agent_index"": 0, ""evaluation_seed"": 20023, ""mf_value"": 7.176742334313534, ""nmf_value"": 7.297504666703359, ""unit_id"": ""agent-0-seed-20023"", ""value"": 0.12076233238982503}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20029,nmf_minus_mf_logical_z_lifetime,0.4890586345183543,"{""agent_index"": 0, ""evaluation_seed"": 20029, ""mf_value"": 5.987528221289841, ""nmf_value"": 6.476586855808195, ""unit_id"": ""agent-0-seed-20029"", ""value"": 0.4890586345183543}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20047,nmf_minus_mf_logical_z_lifetime,0.294295684982,"{""agent_index"": 0, ""evaluation_seed"": 20047, ""mf_value"": 6.03629958831314, ""nmf_value"": 6.33059527329514, ""unit_id"": ""agent-0-seed-20047"", ""value"": 0.294295684982}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20051,nmf_minus_mf_logical_z_lifetime,-0.03925258360963646,"{""agent_index"": 0, ""evaluation_seed"": 20051, ""mf_value"": 6.655271693079685, ""nmf_value"": 6.616019109470049, ""unit_id"": ""agent-0-seed-20051"", ""value"": -0.03925258360963646}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20063,nmf_minus_mf_logical_z_lifetime,0.16951313050831907,"{""agent_index"": 0, ""evaluation_seed"": 20063, ""mf_value"": 6.633173587724407, ""nmf_value"": 6.802686718232726, ""unit_id"": ""agent-0-seed-20063"", ""value"": 0.16951313050831907}"
nmf_agent_seed,nmf_directional/primary,agent-0-seed-20071,nmf_minus_mf_logical_z_lifetime,-0.5035209940266245,"{""agent_index"": 0, ""evaluation_seed"": 20071, ""mf_value"": 7.077074183726827, ""nmf_value"": 6.573553189700203, ""unit_id"": ""agent-0-seed-20071"", ""value"": -0.5035209940266245}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20011,nmf_minus_mf_logical_z_lifetime,0.6504940162616641,"{""agent_index"": 1, ""evaluation_seed"": 20011, ""mf_value"": 6.321988911591843, ""nmf_value"": 6.972482927853507, ""unit_id"": ""agent-1-seed-20011"", ""value"": 0.6504940162616641}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20021,nmf_minus_mf_logical_z_lifetime,0.09172903994804571,"{""agent_index"": 1, ""evaluation_seed"": 20021, ""mf_value"": 6.168395642343871, ""nmf_value"": 6.2601246822919165, ""unit_id"": ""agent-1-seed-20021"", ""value"": 0.09172903994804571}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20023,nmf_minus_mf_logical_z_lifetime,0.5187366539751075,"{""agent_index"": 1, ""evaluation_seed"": 20023, ""mf_value"": 7.045636868290291, ""nmf_value"": 7.564373522265399, ""unit_id"": ""agent-1-seed-20023"", ""value"": 0.5187366539751075}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20029,nmf_minus_mf_logical_z_lifetime,0.7150465123385334,"{""agent_index"": 1, ""evaluation_seed"": 20029, ""mf_value"": 5.972443073787922, ""nmf_value"": 6.687489586126455, ""unit_id"": ""agent-1-seed-20029"", ""value"": 0.7150465123385334}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20047,nmf_minus_mf_logical_z_lifetime,0.12681889493162402,"{""agent_index"": 1, ""evaluation_seed"": 20047, ""mf_value"": 5.99210097076268, ""nmf_value"": 6.118919865694304, ""unit_id"": ""agent-1-seed-20047"", ""value"": 0.12681889493162402}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20051,nmf_minus_mf_logical_z_lifetime,-0.2413568625181206,"{""agent_index"": 1, ""evaluation_seed"": 20051, ""mf_value"": 6.641954198914508, ""nmf_value"": 6.4005973363963875, ""unit_id"": ""agent-1-seed-20051"", ""value"": -0.2413568625181206}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20063,nmf_minus_mf_logical_z_lifetime,0.339009380970559,"{""agent_index"": 1, ""evaluation_seed"": 20063, ""mf_value"": 6.90681981166648, ""nmf_value"": 7.245829192637039, ""unit_id"": ""agent-1-seed-20063"", ""value"": 0.339009380970559}"
nmf_agent_seed,nmf_directional/primary,agent-1-seed-20071,nmf_minus_mf_logical_z_lifetime,0.21018833007108384,"{""agent_index"": 1, ""evaluation_seed"": 20071, ""mf_value"": 6.600452026650386, ""nmf_value"": 6.8106403567214695, ""unit_id"": ""agent-1-seed-20071"", ""value"": 0.21018833007108384}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20011,nmf_minus_mf_logical_z_lifetime,0.5000636695839997,"{""agent_index"": 2, ""evaluation_seed"": 20011, ""mf_value"": 6.248068365319085, ""nmf_value"": 6.748132034903085, ""unit_id"": ""agent-2-seed-20011"", ""value"": 0.5000636695839997}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20021,nmf_minus_mf_logical_z_lifetime,-0.07010906782012682,"{""agent_index"": 2, ""evaluation_seed"": 20021, ""mf_value"": 6.263161513751138, ""nmf_value"": 6.193052445931011, ""unit_id"": ""agent-2-seed-20021"", ""value"": -0.07010906782012682}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20023,nmf_minus_mf_logical_z_lifetime,0.38947692804252476,"{""agent_index"": 2, ""evaluation_seed"": 20023, ""mf_value"": 7.02589364662424, ""nmf_value"": 7.415370574666765, ""unit_id"": ""agent-2-seed-20023"", ""value"": 0.38947692804252476}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20029,nmf_minus_mf_logical_z_lifetime,0.5036150873165113,"{""agent_index"": 2, ""evaluation_seed"": 20029, ""mf_value"": 5.9378175481124185, ""nmf_value"": 6.44143263542893, ""unit_id"": ""agent-2-seed-20029"", ""value"": 0.5036150873165113}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20047,nmf_minus_mf_logical_z_lifetime,0.33956975308443127,"{""agent_index"": 2, ""evaluation_seed"": 20047, ""mf_value"": 6.108799852456416, ""nmf_value"": 6.448369605540847, ""unit_id"": ""agent-2-seed-20047"", ""value"": 0.33956975308443127}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20051,nmf_minus_mf_logical_z_lifetime,0.11243952693766879,"{""agent_index"": 2, ""evaluation_seed"": 20051, ""mf_value"": 6.491566907645318, ""nmf_value"": 6.6040064345829865, ""unit_id"": ""agent-2-seed-20051"", ""value"": 0.11243952693766879}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20063,nmf_minus_mf_logical_z_lifetime,-0.10673914544152652,"{""agent_index"": 2, ""evaluation_seed"": 20063, ""mf_value"": 7.055245330088866, ""nmf_value"": 6.948506184647339, ""unit_id"": ""agent-2-seed-20063"", ""value"": -0.10673914544152652}"
nmf_agent_seed,nmf_directional/primary,agent-2-seed-20071,nmf_minus_mf_logical_z_lifetime,0.38943536447212246,"{""agent_index"": 2, ""evaluation_seed"": 20071, ""mf_value"": 6.696847573877202, ""nmf_value"": 7.086282938349324, ""unit_id"": ""agent-2-seed-20071"", ""value"": 0.38943536447212246}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20011,nmf_minus_mf_logical_z_lifetime,0.2709999064559465,"{""agent_index"": 3, ""evaluation_seed"": 20011, ""mf_value"": 6.561495266747706, ""nmf_value"": 6.832495173203652, ""unit_id"": ""agent-3-seed-20011"", ""value"": 0.2709999064559465}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20021,nmf_minus_mf_logical_z_lifetime,-0.06144659869835856,"{""agent_index"": 3, ""evaluation_seed"": 20021, ""mf_value"": 6.343865194757326, ""nmf_value"": 6.282418596058967, ""unit_id"": ""agent-3-seed-20021"", ""value"": -0.06144659869835856}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20023,nmf_minus_mf_logical_z_lifetime,0.13757638240602077,"{""agent_index"": 3, ""evaluation_seed"": 20023, ""mf_value"": 7.235191549267421, ""nmf_value"": 7.372767931673442, ""unit_id"": ""agent-3-seed-20023"", ""value"": 0.13757638240602077}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20029,nmf_minus_mf_logical_z_lifetime,0.26604055879396427,"{""agent_index"": 3, ""evaluation_seed"": 20029, ""mf_value"": 6.169701597670555, ""nmf_value"": 6.435742156464519, ""unit_id"": ""agent-3-seed-20029"", ""value"": 0.26604055879396427}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20047,nmf_minus_mf_logical_z_lifetime,0.16010945997035364,"{""agent_index"": 3, ""evaluation_seed"": 20047, ""mf_value"": 6.17657862301372, ""nmf_value"": 6.3366880829840735, ""unit_id"": ""agent-3-seed-20047"", ""value"": 0.16010945997035364}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20051,nmf_minus_mf_logical_z_lifetime,-0.1558685480689963,"{""agent_index"": 3, ""evaluation_seed"": 20051, ""mf_value"": 6.846702238934462, ""nmf_value"": 6.690833690865466, ""unit_id"": ""agent-3-seed-20051"", ""value"": -0.1558685480689963}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20063,nmf_minus_mf_logical_z_lifetime,-0.24354792786572688,"{""agent_index"": 3, ""evaluation_seed"": 20063, ""mf_value"": 6.942332006853453, ""nmf_value"": 6.698784078987726, ""unit_id"": ""agent-3-seed-20063"", ""value"": -0.24354792786572688}"
nmf_agent_seed,nmf_directional/primary,agent-3-seed-20071,nmf_minus_mf_logical_z_lifetime,-0.19406204907862978,"{""agent_index"": 3, ""evaluation_seed"": 20071, ""mf_value"": 6.85483639904302, ""nmf_value"": 6.66077434996439, ""unit_id"": ""agent-3-seed-20071"", ""value"": -0.19406204907862978}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20011,nmf_minus_mf_logical_z_lifetime,0.13526030679292234,"{""agent_index"": 4, ""evaluation_seed"": 20011, ""mf_value"": 6.495134834955508, ""nmf_value"": 6.63039514174843, ""unit_id"": ""agent-4-seed-20011"", ""value"": 0.13526030679292234}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20021,nmf_minus_mf_logical_z_lifetime,0.4756597512088572,"{""agent_index"": 4, ""evaluation_seed"": 20021, ""mf_value"": 6.077187650989407, ""nmf_value"": 6.552847402198264, ""unit_id"": ""agent-4-seed-20021"", ""value"": 0.4756597512088572}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20023,nmf_minus_mf_logical_z_lifetime,0.16303449928902936,"{""agent_index"": 4, ""evaluation_seed"": 20023, ""mf_value"": 7.323072342910647, ""nmf_value"": 7.486106842199677, ""unit_id"": ""agent-4-seed-20023"", ""value"": 0.16303449928902936}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20029,nmf_minus_mf_logical_z_lifetime,0.7134700344064075,"{""agent_index"": 4, ""evaluation_seed"": 20029, ""mf_value"": 6.108605627572187, ""nmf_value"": 6.8220756619785945, ""unit_id"": ""agent-4-seed-20029"", ""value"": 0.7134700344064075}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20047,nmf_minus_mf_logical_z_lifetime,0.2638390457179156,"{""agent_index"": 4, ""evaluation_seed"": 20047, ""mf_value"": 6.284087304178243, ""nmf_value"": 6.547926349896159, ""unit_id"": ""agent-4-seed-20047"", ""value"": 0.2638390457179156}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20051,nmf_minus_mf_logical_z_lifetime,0.813053697559095,"{""agent_index"": 4, ""evaluation_seed"": 20051, ""mf_value"": 6.7136323674238465, ""nmf_value"": 7.5266860649829415, ""unit_id"": ""agent-4-seed-20051"", ""value"": 0.813053697559095}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20063,nmf_minus_mf_logical_z_lifetime,0.7702276158717769,"{""agent_index"": 4, ""evaluation_seed"": 20063, ""mf_value"": 6.618556288762916, ""nmf_value"": 7.388783904634693, ""unit_id"": ""agent-4-seed-20063"", ""value"": 0.7702276158717769}"
nmf_agent_seed,nmf_directional/primary,agent-4-seed-20071,nmf_minus_mf_logical_z_lifetime,-0.21274393605438568,"{""agent_index"": 4, ""evaluation_seed"": 20071, ""mf_value"": 6.749026671433674, ""nmf_value"": 6.536282735379288, ""unit_id"": ""agent-4-seed-20071"", ""value"": -0.21274393605438568}"
distribution,nmf_directional/primary,agents,nmf_minus_mf_logical_z_lifetime,0.25721901452195084,"{""count"": 5, ""higher_is_better"": true, ""iqr"": 0.24201515535490703, ""maximum"": 0.3902251268489527, ""median"": 0.25721901452195084, ""minimum"": 0.022475147989322153, ""q1"": 0.059318090392404876, ""q3"": 0.3013332457473119, ""worst_quartile"": [{""unit_id"": ""agent-3"", ""value"": 0.022475147989322153}, {""unit_id"": ""agent-0"", ""value"": 0.059318090392404876}], ""worst_quartile_count"": 2, ""worst_quartile_rule"": ""lower_is_worse""}"
hindsight_diagnostic,nmf_directional/primary,hypothetical-best-agent,inflation_over_all_agent_median,0.13300611232700188,"{""agent_index"": 4, ""inflation_over_all_agent_median"": 0.13300611232700188, ""used_for_claim_or_selection"": false, ""value"": 0.3902251268489527}"
nmf_agent,nmf_directional/confirmation,agent-0,nmf_minus_mf_logical_z_lifetime,0.3863844139742252,"{""agent_index"": 0, ""mf_test_value"": 7.168155074222531, ""mf_training_seed"": 101, ""mf_validation_score"": 0.5521068846077827, ""nmf_test_value"": 7.554539488196756, ""nmf_training_seed"": 101, ""nmf_validation_score"": 0.5724009442107068, ""selected_after_test"": false, ""unit_id"": ""agent-0"", ""value"": 0.3863844139742252}"
nmf_agent,nmf_directional/confirmation,agent-1,nmf_minus_mf_logical_z_lifetime,0.5199583266853569,"{""agent_index"": 1, ""mf_test_value"": 7.504904672859526, ""mf_training_seed"": 211, ""mf_validation_score"": 0.5526644539386212, ""nmf_test_value"": 8.024862999544883, ""nmf_training_seed"": 211, ""nmf_validation_score"": 0.5694714446376364, ""selected_after_test"": false, ""unit_id"": ""agent-1"", ""value"": 0.5199583266853569}"
nmf_agent,nmf_directional/confirmation,agent-2,nmf_minus_mf_logical_z_lifetime,0.3442737350562419,"{""agent_index"": 2, ""mf_test_value"": 7.152823218270628, ""mf_training_seed"": 307, ""mf_validation_score"": 0.5588600308717924, ""nmf_test_value"": 7.49709695332687, ""nmf_training_seed"": 307, ""nmf_validation_score"": 0.5660806195312165, ""selected_after_test"": false, ""unit_id"": ""agent-2"", ""value"": 0.3442737350562419}"
nmf_agent,nmf_directional/confirmation,agent-3,nmf_minus_mf_logical_z_lifetime,0.28103651631149784,"{""agent_index"": 3, ""mf_test_value"": 7.359018654046849, ""mf_training_seed"": 401, ""mf_validation_score"": 0.5579069616853197, ""nmf_test_value"": 7.640055170358347, ""nmf_training_seed"": 401, ""nmf_validation_score"": 0.5856706648016688, ""selected_after_test"": false, ""unit_id"": ""agent-3"", ""value"": 0.28103651631149784}"
nmf_agent,nmf_directional/confirmation,agent-4,nmf_minus_mf_logical_z_lifetime,0.7805865755179662,"{""agent_index"": 4, ""mf_test_value"": 7.044613801811466, ""mf_training_seed"": 503, ""mf_validation_score"": 0.5641755437180349, ""nmf_test_value"": 7.825200377329432, ""nmf_training_seed"": 503, ""nmf_validation_score"": 0.5866580135554547, ""selected_after_test"": false, ""unit_id"": ""agent-4"", ""value"": 0.7805865755179662}"
nmf_agent_seed,nmf_directional/confirmation,agent-0-seed-30011,nmf_minus_mf_logical_z_lifetime,1.1219701337419803,"{""agent_index"": 0, ""evaluation_seed"": 30011, ""mf_value"": 6.968510437253796, ""nmf_value"": 8.090480570995776, ""unit_id"": ""agent-0-seed-30011"", ""value"": 1.1219701337419803}"
nmf_agent_seed,nmf_directional/confirmation,agent-0-seed-30013,nmf_minus_mf_logical_z_lifetime,-0.06810899019009398,"{""agent_index"": 0, ""evaluation_seed"": 30013, ""mf_value"": 8.083567113424962, ""nmf_value"": 8.015458123234868, ""unit_id"": ""agent-0-seed-30013"", ""value"": -0.06810899019009398}"
