row_type,item_id,metric,value,detail_json
implementation_binding,cnn_fpga/runtime/conservative_fallback.py,sha256_bound,1,"{""path"": ""cnn_fpga/runtime/conservative_fallback.py"", ""sha256"": ""711c8d85846b81b8052e20486ff7f1f6fd5e827d632cf4ded2344f589f447417""}"
implementation_binding,cnn_fpga/runtime/atomic_parameter_bank.py,sha256_bound,1,"{""path"": ""cnn_fpga/runtime/atomic_parameter_bank.py"", ""sha256"": ""17f64ae9a6bd102a57fdc0bfeae79072b210ff70ced9629b1cf807c9a9fcd256""}"
implementation_binding,cnn_fpga/benchmark/bit_accurate_hardware_reference.py,sha256_bound,1,"{""path"": ""cnn_fpga/benchmark/bit_accurate_hardware_reference.py"", ""sha256"": ""08b9bf8091677350e99903ee23bb24cb43f5e6f896a18eb47f752c858d73ade0""}"
word_field,input_word:syndrome_code,width,10,"{""name"": ""syndrome_code"", ""offset"": 0, ""width"": 10}"
word_field,input_word:syndrome_x_code,width,2,"{""name"": ""syndrome_x_code"", ""offset"": 10, ""width"": 2}"
word_field,input_word:syndrome_z_code,width,2,"{""name"": ""syndrome_z_code"", ""offset"": 12, ""width"": 2}"
word_field,input_word:quadrature_phase_bit,width,1,"{""name"": ""quadrature_phase_bit"", ""offset"": 14, ""width"": 1}"
word_field,input_word:ood_score_code,width,8,"{""name"": ""ood_score_code"", ""offset"": 15, ""width"": 8}"
word_field,input_word:parameter_age_code,width,16,"{""name"": ""parameter_age_code"", ""offset"": 23, ""width"": 16}"
word_field,input_word:reset_ack,width,1,"{""name"": ""reset_ack"", ""offset"": 39, ""width"": 1}"
word_field,input_word:observation_valid,width,1,"{""name"": ""observation_valid"", ""offset"": 40, ""width"": 1}"
word_field,input_word:deadline_ok,width,1,"{""name"": ""deadline_ok"", ""offset"": 41, ""width"": 1}"
word_field,output_word:output_valid,width,1,"{""name"": ""output_valid"", ""offset"": 0, ""width"": 1}"
word_field,output_word:mode_code,width,3,"{""name"": ""mode_code"", ""offset"": 1, ""width"": 3}"
word_field,output_word:correction_enable,width,1,"{""name"": ""correction_enable"", ""offset"": 4, ""width"": 1}"
word_field,output_word:reset_request,width,1,"{""name"": ""reset_request"", ""offset"": 5, ""width"": 1}"
word_field,output_word:map_action_inhibited,width,1,"{""name"": ""map_action_inhibited"", ""offset"": 6, ""width"": 1}"
word_field,output_word:map_action_code,width,2,"{""name"": ""map_action_code"", ""offset"": 7, ""width"": 2}"
word_field,output_word:pauli_frame_delta_x,width,1,"{""name"": ""pauli_frame_delta_x"", ""offset"": 9, ""width"": 1}"
word_field,output_word:pauli_frame_delta_z,width,1,"{""name"": ""pauli_frame_delta_z"", ""offset"": 10, ""width"": 1}"
word_field,output_word:pauli_frame_x,width,1,"{""name"": ""pauli_frame_x"", ""offset"": 11, ""width"": 1}"
word_field,output_word:pauli_frame_z,width,1,"{""name"": ""pauli_frame_z"", ""offset"": 12, ""width"": 1}"
word_field,output_word:phase_frame_x_code,width,8,"{""name"": ""phase_frame_x_code"", ""offset"": 13, ""width"": 8}"
word_field,output_word:phase_frame_z_code,width,8,"{""name"": ""phase_frame_z_code"", ""offset"": 21, ""width"": 8}"
word_field,output_word:x_e_run,width,3,"{""name"": ""x_e_run"", ""offset"": 29, ""width"": 3}"
word_field,output_word:z_e_run,width,3,"{""name"": ""z_e_run"", ""offset"": 32, ""width"": 3}"
word_field,output_word:leakage_run,width,3,"{""name"": ""leakage_run"", ""offset"": 35, ""width"": 3}"
word_field,output_word:leakage_clean_run,width,3,"{""name"": ""leakage_clean_run"", ""offset"": 38, ""width"": 3}"
word_field,output_word:health_good_run,width,3,"{""name"": ""health_good_run"", ""offset"": 41, ""width"": 3}"
word_field,output_word:reset_wait_run,width,3,"{""name"": ""reset_wait_run"", ""offset"": 44, ""width"": 3}"
word_field,output_word:health_status_code,width,3,"{""name"": ""health_status_code"", ""offset"": 47, ""width"": 3}"
word_field,output_word:fault_mask,width,14,"{""name"": ""fault_mask"", ""offset"": 50, ""width"": 14}"
word_field,output_word:active_version,width,16,"{""name"": ""active_version"", ""offset"": 64, ""width"": 16}"
word_field,output_word:map_llr_twos_complement,width,22,"{""name"": ""map_llr_twos_complement"", ""offset"": 80, ""width"": 22}"
word_field,state_word:mode_code,width,3,"{""name"": ""mode_code"", ""offset"": 0, ""width"": 3}"
word_field,state_word:x_e_run,width,3,"{""name"": ""x_e_run"", ""offset"": 3, ""width"": 3}"
word_field,state_word:z_e_run,width,3,"{""name"": ""z_e_run"", ""offset"": 6, ""width"": 3}"
word_field,state_word:leakage_run,width,3,"{""name"": ""leakage_run"", ""offset"": 9, ""width"": 3}"
word_field,state_word:leakage_clean_run,width,3,"{""name"": ""leakage_clean_run"", ""offset"": 12, ""width"": 3}"
word_field,state_word:health_good_run,width,3,"{""name"": ""health_good_run"", ""offset"": 15, ""width"": 3}"
word_field,state_word:reset_wait_run,width,3,"{""name"": ""reset_wait_run"", ""offset"": 18, ""width"": 3}"
word_field,state_word:pauli_frame_x,width,1,"{""name"": ""pauli_frame_x"", ""offset"": 21, ""width"": 1}"
word_field,state_word:pauli_frame_z,width,1,"{""name"": ""pauli_frame_z"", ""offset"": 22, ""width"": 1}"
word_field,state_word:phase_frame_x_code,width,8,"{""name"": ""phase_frame_x_code"", ""offset"": 23, ""width"": 8}"
word_field,state_word:phase_frame_z_code,width,8,"{""name"": ""phase_frame_z_code"", ""offset"": 31, ""width"": 8}"
word_field,state_word:active_version,width,16,"{""name"": ""active_version"", ""offset"": 39, ""width"": 16}"
word_field,state_word:health_status_code,width,3,"{""name"": ""health_status_code"", ""offset"": 55, ""width"": 3}"
word_field,state_word:fault_run,width,8,"{""name"": ""fault_run"", ""offset"": 58, ""width"": 8}"
word_field,state_word:good_run,width,8,"{""name"": ""good_run"", ""offset"": 66, ""width"": 8}"
word_field,state_word:fault_cycle_count,width,8,"{""name"": ""fault_cycle_count"", ""offset"": 74, ""width"": 8}"
word_field,state_word:leakage_cycle_count,width,8,"{""name"": ""leakage_cycle_count"", ""offset"": 82, ""width"": 8}"
word_field,state_word:fault_count_00,width,8,"{""name"": ""fault_count_00"", ""offset"": 90, ""width"": 8}"
word_field,state_word:fault_count_01,width,8,"{""name"": ""fault_count_01"", ""offset"": 98, ""width"": 8}"
word_field,state_word:fault_count_02,width,8,"{""name"": ""fault_count_02"", ""offset"": 106, ""width"": 8}"
word_field,state_word:fault_count_03,width,8,"{""name"": ""fault_count_03"", ""offset"": 114, ""width"": 8}"
word_field,state_word:fault_count_04,width,8,"{""name"": ""fault_count_04"", ""offset"": 122, ""width"": 8}"
word_field,state_word:fault_count_05,width,8,"{""name"": ""fault_count_05"", ""offset"": 130, ""width"": 8}"
word_field,state_word:fault_count_06,width,8,"{""name"": ""fault_count_06"", ""offset"": 138, ""width"": 8}"
word_field,state_word:fault_count_07,width,8,"{""name"": ""fault_count_07"", ""offset"": 146, ""width"": 8}"
word_field,state_word:fault_count_08,width,8,"{""name"": ""fault_count_08"", ""offset"": 154, ""width"": 8}"
word_field,state_word:fault_count_09,width,8,"{""name"": ""fault_count_09"", ""offset"": 162, ""width"": 8}"
word_field,state_word:fault_count_10,width,8,"{""name"": ""fault_count_10"", ""offset"": 170, ""width"": 8}"
word_field,state_word:fault_count_11,width,8,"{""name"": ""fault_count_11"", ""offset"": 178, ""width"": 8}"
word_field,state_word:fault_count_12,width,8,"{""name"": ""fault_count_12"", ""offset"": 186, ""width"": 8}"
word_field,state_word:fault_count_13,width,8,"{""name"": ""fault_count_13"", ""offset"": 194, ""width"": 8}"
word_field,state_word:last_fault_mask,width,14,"{""name"": ""last_fault_mask"", ""offset"": 202, ""width"": 14}"
parameter_image,v0,packed_bytes,1706,"{""image_crc32"": ""24c4706d"", ""image_sha256"": ""83245313ad0f359823ff550ec64c29c96f675fadf10a2ba8d98e9d2d321d963c"", ""packed_bytes"": 1706, ""packed_sha256"": ""17e2e0d4f240fdb500b49eb8669bfcb6c10075ea0cd8ab8e1f630091356a3c70"", ""version"": 0}"
parameter_image,v1,packed_bytes,1706,"{""image_crc32"": ""48b5f203"", ""image_sha256"": ""68d1f882b41d03f3566e427655b1b1bf19c6db74329b0fa4542df42f9a62385f"", ""packed_bytes"": 1706, ""packed_sha256"": ""28f73698aad57fabc9fa603e9613ae7e87d2ecda9403e17a6737a595c2297e51"", ""version"": 1}"
parameter_image,v2,packed_bytes,1706,"{""image_crc32"": ""bb6a29b4"", ""image_sha256"": ""0c9b1260caf176079bbc158b6ffdb55aea60cffd0ab329866420f7ae02cf2653"", ""packed_bytes"": 1706, ""packed_sha256"": ""611123ecd63c0dd84665ac250b15eb9fd00bb7f9f8a5906e47d684df15575f26"", ""version"": 2}"
parameter_image,v3,packed_bytes,1706,"{""image_crc32"": ""a8c1f528"", ""image_sha256"": ""0c260799d3e7aab58a59925c7f5f5e1a4e3ad9b702a46110bf065d973204b1d9"", ""packed_bytes"": 1706, ""packed_sha256"": ""617e4812705d74a9bf114771da484888e02bf5973594dcf088f2c2bc5b81a82e"", ""version"": 3}"
parameter_image,v4,packed_bytes,1706,"{""image_crc32"": ""e7b06f54"", ""image_sha256"": ""b8a3b5becebe9b5dfe1697775170b2fea9ca581ababcca2c3f8d0bf91e064be9"", ""packed_bytes"": 1706, ""packed_sha256"": ""346d70fef90e24b92b118c36fa3e7752b78bdb5073bc64ae80c39b5915857aa1"", ""version"": 4}"
parameter_image,v5,packed_bytes,1706,"{""image_crc32"": ""a8899d7f"", ""image_sha256"": ""4c4194ea049a9f52c94316ca24c149b9f460c6996910e7efe347f2c98e4f70d3"", ""packed_bytes"": 1706, ""packed_sha256"": ""f12af172859aa5e8572af09d21a882b4e4028ac4e5fce9a4792cd50ae7bd8b28"", ""version"": 5}"
parameter_image,v6,packed_bytes,1706,"{""image_crc32"": ""befaa24a"", ""image_sha256"": ""72272abbf21969f9b750eddb4dcb0654f3ce32e34cfd5b139b8519dc2b563a6d"", ""packed_bytes"": 1706, ""packed_sha256"": ""37588c1622bb9633be43a62149eca65c9172390365c14a9973ba1cb5a64e71c4"", ""version"": 6}"
parameter_image,v7,packed_bytes,1706,"{""image_crc32"": ""b66063d5"", ""image_sha256"": ""49648d1a8c028a82f3d6b357bf518f97e7897ef1ded678e60a7621f5efaf01b7"", ""packed_bytes"": 1706, ""packed_sha256"": ""ad4074245a507537f6dca4af90a54bfd1fea1dd014d7e952fec65cc1b0d3dd1f"", ""version"": 7}"
exhaustive_map_code,v0:p0:c0,llr_code,89,"{""address"": 0, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 89, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 89, ""syndrome_code"": 0}"
exhaustive_map_code,v0:p0:c1,llr_code,267,"{""address"": 0, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 267, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 267, ""syndrome_code"": 1}"
exhaustive_map_code,v0:p0:c2,llr_code,444,"{""address"": 0, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 444, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 444, ""syndrome_code"": 2}"
exhaustive_map_code,v0:p0:c3,llr_code,622,"{""address"": 0, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 622, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 622, ""syndrome_code"": 3}"
exhaustive_map_code,v0:p0:c4,llr_code,800,"{""address"": 1, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 800, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 800, ""syndrome_code"": 4}"
exhaustive_map_code,v0:p0:c5,llr_code,978,"{""address"": 1, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 978, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 978, ""syndrome_code"": 5}"
exhaustive_map_code,v0:p0:c6,llr_code,1155,"{""address"": 1, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 1155, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 1155, ""syndrome_code"": 6}"
exhaustive_map_code,v0:p0:c7,llr_code,1333,"{""address"": 1, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 1333, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 1333, ""syndrome_code"": 7}"
exhaustive_map_code,v0:p0:c8,llr_code,1511,"{""address"": 2, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 1511, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 1511, ""syndrome_code"": 8}"
exhaustive_map_code,v0:p0:c9,llr_code,1689,"{""address"": 2, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 1689, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 1689, ""syndrome_code"": 9}"
exhaustive_map_code,v0:p0:c10,llr_code,1866,"{""address"": 2, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 1866, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 1866, ""syndrome_code"": 10}"
exhaustive_map_code,v0:p0:c11,llr_code,2044,"{""address"": 2, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2044, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2044, ""syndrome_code"": 11}"
exhaustive_map_code,v0:p0:c12,llr_code,2222,"{""address"": 3, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2222, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2222, ""syndrome_code"": 12}"
exhaustive_map_code,v0:p0:c13,llr_code,2400,"{""address"": 3, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2400, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2400, ""syndrome_code"": 13}"
exhaustive_map_code,v0:p0:c14,llr_code,2577,"{""address"": 3, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2577, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2577, ""syndrome_code"": 14}"
exhaustive_map_code,v0:p0:c15,llr_code,2755,"{""address"": 3, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2755, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2755, ""syndrome_code"": 15}"
exhaustive_map_code,v0:p0:c16,llr_code,2933,"{""address"": 4, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 2933, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 2933, ""syndrome_code"": 16}"
exhaustive_map_code,v0:p0:c17,llr_code,3111,"{""address"": 4, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 3111, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 3111, ""syndrome_code"": 17}"
exhaustive_map_code,v0:p0:c18,llr_code,3289,"{""address"": 4, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 3289, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 3289, ""syndrome_code"": 18}"
exhaustive_map_code,v0:p0:c19,llr_code,3467,"{""address"": 4, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 3467, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 3467, ""syndrome_code"": 19}"
exhaustive_map_code,v0:p0:c20,llr_code,3645,"{""address"": 5, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 3645, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 3645, ""syndrome_code"": 20}"
exhaustive_map_code,v0:p0:c21,llr_code,3823,"{""address"": 5, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 3823, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 3823, ""syndrome_code"": 21}"
exhaustive_map_code,v0:p0:c22,llr_code,4000,"{""address"": 5, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4000, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4000, ""syndrome_code"": 22}"
exhaustive_map_code,v0:p0:c23,llr_code,4178,"{""address"": 5, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4178, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4178, ""syndrome_code"": 23}"
exhaustive_map_code,v0:p0:c24,llr_code,4356,"{""address"": 6, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4356, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4356, ""syndrome_code"": 24}"
exhaustive_map_code,v0:p0:c25,llr_code,4534,"{""address"": 6, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4534, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4534, ""syndrome_code"": 25}"
exhaustive_map_code,v0:p0:c26,llr_code,4711,"{""address"": 6, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4711, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4711, ""syndrome_code"": 26}"
exhaustive_map_code,v0:p0:c27,llr_code,4889,"{""address"": 6, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 4889, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 4889, ""syndrome_code"": 27}"
exhaustive_map_code,v0:p0:c28,llr_code,5067,"{""address"": 7, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5067, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5067, ""syndrome_code"": 28}"
exhaustive_map_code,v0:p0:c29,llr_code,5245,"{""address"": 7, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5245, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5245, ""syndrome_code"": 29}"
exhaustive_map_code,v0:p0:c30,llr_code,5422,"{""address"": 7, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5422, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5422, ""syndrome_code"": 30}"
exhaustive_map_code,v0:p0:c31,llr_code,5600,"{""address"": 7, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5600, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5600, ""syndrome_code"": 31}"
exhaustive_map_code,v0:p0:c32,llr_code,5778,"{""address"": 8, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5778, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5778, ""syndrome_code"": 32}"
exhaustive_map_code,v0:p0:c33,llr_code,5956,"{""address"": 8, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 5956, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 5956, ""syndrome_code"": 33}"
exhaustive_map_code,v0:p0:c34,llr_code,6133,"{""address"": 8, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 6133, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 6133, ""syndrome_code"": 34}"
exhaustive_map_code,v0:p0:c35,llr_code,6311,"{""address"": 8, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 6311, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 6311, ""syndrome_code"": 35}"
exhaustive_map_code,v0:p0:c36,llr_code,6489,"{""address"": 9, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 6489, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 6489, ""syndrome_code"": 36}"
exhaustive_map_code,v0:p0:c37,llr_code,6667,"{""address"": 9, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 6667, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 6667, ""syndrome_code"": 37}"
exhaustive_map_code,v0:p0:c38,llr_code,6844,"{""address"": 9, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 6844, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 6844, ""syndrome_code"": 38}"
exhaustive_map_code,v0:p0:c39,llr_code,7022,"{""address"": 9, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7022, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7022, ""syndrome_code"": 39}"
exhaustive_map_code,v0:p0:c40,llr_code,7200,"{""address"": 10, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7200, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7200, ""syndrome_code"": 40}"
exhaustive_map_code,v0:p0:c41,llr_code,7378,"{""address"": 10, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7378, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7378, ""syndrome_code"": 41}"
exhaustive_map_code,v0:p0:c42,llr_code,7555,"{""address"": 10, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7555, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7555, ""syndrome_code"": 42}"
exhaustive_map_code,v0:p0:c43,llr_code,7733,"{""address"": 10, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7733, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7733, ""syndrome_code"": 43}"
exhaustive_map_code,v0:p0:c44,llr_code,7911,"{""address"": 11, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 7911, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 7911, ""syndrome_code"": 44}"
exhaustive_map_code,v0:p0:c45,llr_code,8089,"{""address"": 11, ""exact"": true, ""fraction_code"": 1, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 8089, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 8089, ""syndrome_code"": 45}"
exhaustive_map_code,v0:p0:c46,llr_code,8266,"{""address"": 11, ""exact"": true, ""fraction_code"": 2, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 8266, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 8266, ""syndrome_code"": 46}"
exhaustive_map_code,v0:p0:c47,llr_code,8444,"{""address"": 11, ""exact"": true, ""fraction_code"": 3, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 8444, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 8444, ""syndrome_code"": 47}"
exhaustive_map_code,v0:p0:c48,llr_code,8622,"{""address"": 12, ""exact"": true, ""fraction_code"": 0, ""image_version"": 0, ""manual_action"": ""I"", ""manual_llr_code"": 8622, ""phase"": 0, ""runtime_action"": ""I"", ""runtime_llr_code"": 8622, ""syndrome_code"": 48}"
