section,seed,name,value,unit,path,detail
synthesis_cell,,DFF,9,cells,,
synthesis_cell,,DFFE,274,cells,,
synthesis_cell,,DFFR,416,cells,,
synthesis_cell,,DFFRE,135,cells,,
synthesis_cell,,DFFS,31,cells,,
synthesis_cell,,IBUF,10,cells,,
synthesis_cell,,OBUF,8,cells,,
timing,1,achieved_fmax,41.08294677734375,MHz,,
critical_path,1,period_ns,24.341000098735094,ns,,
critical_path,1,segment_count,73,,,
critical_path,1,clock_to_q_ns,0.23100000619888306,ns,,
critical_path,1,logic_ns,10.065000265836716,ns,,
critical_path,1,routing_ns,14.009999826550484,ns,,
critical_path,1,setup_ns,0.03500000014901161,ns,,
critical_path,1,start_cell,core.leakage_clean_run_DFFRE_Q,,,
critical_path,1,start_location,"[14, 24]",,,
critical_path,1,end_cell,fold5_DFFR_Q_5,,,
critical_path,1,end_location,"[6, 26]",,,
critical_path,1,from_clock,posedge core.clk,,,
critical_path,1,to_clock,posedge core.clk,,,
resource,1,ALU,340,cells,,available=15552
resource,1,ALU54D,0,cells,,available=24
resource,1,BSRAM,8,cells,,available=46
resource,1,BUFG,1,cells,,available=24
resource,1,CLKDIV,0,cells,,available=8
resource,1,CLKDIV2,0,cells,,available=16
resource,1,DCS,0,cells,,available=8
resource,1,DFF,865,cells,,available=15552
resource,1,DHCEN,0,cells,,available=24
resource,1,DQCE,0,cells,,available=24
resource,1,DUMMY_CELL,5,cells,,available=0
resource,1,GND,1,cells,,available=1
resource,1,GSR,1,cells,,available=1
resource,1,IOB,18,cells,,available=384
resource,1,IOLOGICI,0,cells,,available=384
resource,1,IOLOGICO,0,cells,,available=384
resource,1,LUT4,3377,cells,,available=20736
resource,1,MULT18X18,1,cells,,available=48
resource,1,MULT36X36,0,cells,,available=12
resource,1,MULT9X9,1,cells,,available=96
resource,1,MULTADDALU18X18,0,cells,,available=24
resource,1,MULTALU18X18,0,cells,,available=24
resource,1,MULTALU36X18,0,cells,,available=24
resource,1,MUX2_LUT5,1048,cells,,available=10368
resource,1,MUX2_LUT6,425,cells,,available=5184
resource,1,MUX2_LUT7,173,cells,,available=2592
resource,1,MUX2_LUT8,52,cells,,available=2592
resource,1,OSC,0,cells,,available=1
resource,1,PADD18,0,cells,,available=48
resource,1,PADD9,0,cells,,available=96
resource,1,RAM16SDP4,0,cells,,available=648
resource,1,VCC,1,cells,,available=1
resource,1,rPLL,0,cells,,available=2
timing,7,achieved_fmax,42.2119026184082,MHz,,
critical_path,7,period_ns,23.690000373870134,ns,,
critical_path,7,segment_count,75,,,
critical_path,7,clock_to_q_ns,0.23100000619888306,ns,,
critical_path,7,logic_ns,10.532000243663788,ns,,
critical_path,7,routing_ns,12.892000123858452,ns,,
critical_path,7,setup_ns,0.03500000014901161,ns,,
critical_path,7,start_cell,core.reset_wait_run_DFFRE_Q_1,,,
critical_path,7,start_location,"[17, 25]",,,
critical_path,7,end_cell,fold5_DFFR_Q_5,,,
critical_path,7,end_location,"[4, 38]",,,
critical_path,7,from_clock,posedge core.clk,,,
critical_path,7,to_clock,posedge core.clk,,,
resource,7,ALU,340,cells,,available=15552
resource,7,ALU54D,0,cells,,available=24
resource,7,BSRAM,8,cells,,available=46
resource,7,BUFG,1,cells,,available=24
resource,7,CLKDIV,0,cells,,available=8
resource,7,CLKDIV2,0,cells,,available=16
resource,7,DCS,0,cells,,available=8
resource,7,DFF,865,cells,,available=15552
resource,7,DHCEN,0,cells,,available=24
resource,7,DQCE,0,cells,,available=24
resource,7,DUMMY_CELL,5,cells,,available=0
resource,7,GND,1,cells,,available=1
resource,7,GSR,1,cells,,available=1
resource,7,IOB,18,cells,,available=384
resource,7,IOLOGICI,0,cells,,available=384
resource,7,IOLOGICO,0,cells,,available=384
resource,7,LUT4,3379,cells,,available=20736
resource,7,MULT18X18,1,cells,,available=48
resource,7,MULT36X36,0,cells,,available=12
resource,7,MULT9X9,1,cells,,available=96
resource,7,MULTADDALU18X18,0,cells,,available=24
resource,7,MULTALU18X18,0,cells,,available=24
resource,7,MULTALU36X18,0,cells,,available=24
resource,7,MUX2_LUT5,1048,cells,,available=10368
resource,7,MUX2_LUT6,425,cells,,available=5184
resource,7,MUX2_LUT7,173,cells,,available=2592
resource,7,MUX2_LUT8,52,cells,,available=2592
resource,7,OSC,0,cells,,available=1
resource,7,PADD18,0,cells,,available=48
resource,7,PADD9,0,cells,,available=96
resource,7,RAM16SDP4,0,cells,,available=648
resource,7,VCC,1,cells,,available=1
resource,7,rPLL,0,cells,,available=2
timing,19,achieved_fmax,41.02396011352539,MHz,,
critical_path,19,period_ns,24.376000199466944,ns,,
critical_path,19,segment_count,75,,,
critical_path,19,clock_to_q_ns,0.23100000619888306,ns,,
critical_path,19,logic_ns,10.542000234127045,ns,,
critical_path,19,routing_ns,13.567999958992004,ns,,
critical_path,19,setup_ns,0.03500000014901161,ns,,
critical_path,19,start_cell,core.leakage_clean_run_DFFRE_Q_2,,,
critical_path,19,start_location,"[17, 26]",,,
critical_path,19,end_cell,fold5_DFFR_Q_5,,,
critical_path,19,end_location,"[8, 33]",,,
critical_path,19,from_clock,posedge core.clk,,,
critical_path,19,to_clock,posedge core.clk,,,
resource,19,ALU,340,cells,,available=15552
resource,19,ALU54D,0,cells,,available=24
resource,19,BSRAM,8,cells,,available=46
resource,19,BUFG,1,cells,,available=24
resource,19,CLKDIV,0,cells,,available=8
resource,19,CLKDIV2,0,cells,,available=16
resource,19,DCS,0,cells,,available=8
resource,19,DFF,865,cells,,available=15552
resource,19,DHCEN,0,cells,,available=24
resource,19,DQCE,0,cells,,available=24
resource,19,DUMMY_CELL,5,cells,,available=0
resource,19,GND,1,cells,,available=1
resource,19,GSR,1,cells,,available=1
resource,19,IOB,18,cells,,available=384
resource,19,IOLOGICI,0,cells,,available=384
resource,19,IOLOGICO,0,cells,,available=384
resource,19,LUT4,3387,cells,,available=20736
resource,19,MULT18X18,1,cells,,available=48
resource,19,MULT36X36,0,cells,,available=12
resource,19,MULT9X9,1,cells,,available=96
resource,19,MULTADDALU18X18,0,cells,,available=24
resource,19,MULTALU18X18,0,cells,,available=24
resource,19,MULTALU36X18,0,cells,,available=24
resource,19,MUX2_LUT5,1048,cells,,available=10368
resource,19,MUX2_LUT6,425,cells,,available=5184
resource,19,MUX2_LUT7,173,cells,,available=2592
resource,19,MUX2_LUT8,52,cells,,available=2592
resource,19,OSC,0,cells,,available=1
resource,19,PADD18,0,cells,,available=48
resource,19,PADD9,0,cells,,available=96
resource,19,RAM16SDP4,0,cells,,available=648
resource,19,VCC,1,cells,,available=1
resource,19,rPLL,0,cells,,available=2
gate,,parent_rtl_equivalence_is_source_bound_and_exact,1,,,PASS
gate,,all_source_and_constraint_hashes_match,1,,,PASS
gate,,exact_gw2ar_qn88_target_and_27mhz_constraints_are_frozen,1,,,PASS
gate,,synthesis_is_nonempty_and_preserves_eight_brams_and_dsps,1,,,PASS
gate,,three_independent_place_route_seeds_pass_27mhz,1,,,PASS
gate,,reported_resources_are_nonzero_and_within_device_capacity,1,,,PASS
gate,,critical_paths_have_core_sources_and_observable_harness_endpoints,1,,,PASS
gate,,min_median_max_fmax_are_recomputed_from_all_seeds,1,,,PASS
gate,,six_cycle_latency_and_ii_one_arithmetic_are_exact,1,,,PASS
gate,,all_durable_tool_reports_and_logs_match_their_hashes,1,,,PASS
gate,,post_route_estimate_is_not_mislabeled_as_vendor_or_board_measurement,1,,,PASS
gate,,all_semantic_shortcut_mutations_are_rejected,1,,,PASS
mutation,,wrong_device,1,,,exact_gw2ar_qn88_target_and_27mhz_constraints_are_frozen
mutation,,drop_seed_19,1,,,three_independent_place_route_seeds_pass_27mhz;reported_resources_are_nonzero_and_within_device_capacity;critical_paths_have_core_sources_and_observable_harness_endpoints;min_median_max_fmax_are_recomputed_from_all_seeds;six_cycle_latency_and_ii_one_arithmetic_are_exact
mutation,,fmax_below_target,1,,,three_independent_place_route_seeds_pass_27mhz;reported_resources_are_nonzero_and_within_device_capacity;critical_paths_have_core_sources_and_observable_harness_endpoints;min_median_max_fmax_are_recomputed_from_all_seeds;six_cycle_latency_and_ii_one_arithmetic_are_exact
mutation,,erase_bram_usage,1,,,reported_resources_are_nonzero_and_within_device_capacity
mutation,,erase_critical_routing,1,,,critical_paths_have_core_sources_and_observable_harness_endpoints
mutation,,break_parent_hash,1,,,parent_rtl_equivalence_is_source_bound_and_exact
mutation,,break_latency_arithmetic,1,,,six_cycle_latency_and_ii_one_arithmetic_are_exact
mutation,,claim_board_measurement,1,,,post_route_estimate_is_not_mislabeled_as_vendor_or_board_measurement
mutation,,break_tool_report_hash,1,,,all_durable_tool_reports_and_logs_match_their_hashes
artifact,,sha256,8f029952b7d3dabe1ebfe2ce8a927f30ac88bf367bed1f7319e4195b38093ec3,,docs/t5_5_2_yosys_synthesis.log,bytes=791093
artifact,,sha256,8cf9399f21a3d000e8912053b510674c77ae1907821c8bfadff11da2316d32ea,,docs/t5_5_2_nextpnr_seed01_report.json,bytes=132844
artifact,,sha256,5ae0d2d6792c731f839eb24c1c10af7e8cf984145fe657501f938337f47ec1e0,,docs/t5_5_2_nextpnr_seed01_place_route.log,bytes=43073
artifact,,sha256,3c96a6572bdea70e77c4bdea0fff86c2a1313325877f79d7c0f2f9a1c3f64c40,,docs/t5_5_2_nextpnr_seed07_report.json,bytes=138947
artifact,,sha256,156277f5d3394f32386a3eb196e733b19191618c21eb0fc1cac9ca60a8c93826,,docs/t5_5_2_nextpnr_seed07_place_route.log,bytes=46806
artifact,,sha256,6c232bf09377e2bd15b733bcae9e9e1291b83db56105662505dbe66d1724277b,,docs/t5_5_2_nextpnr_seed19_report.json,bytes=137806
artifact,,sha256,227f7a22f47203f1eb12dcdd1250feaba4d280f26120677bceb596d2da5d460e,,docs/t5_5_2_nextpnr_seed19_place_route.log,bytes=47248
