figure,panel,element_id,kind,label,status,evidence_layer,value_json,unit,source_ids_json,source_hashes_json,selectors_json,claim_ids_json
Figure 1,b,f1b_sim,evidence,Project-native simulation,AVAILABLE_RESTRICTED,PROJECT_NATIVE_SIMULATION,null,,"[""claim_report""]","{""claim_report"":""9c71acb51170c52054ed9c373e2e49485b47659f81ca0620a61c1229bed01f5a""}","[""evidence_layer_ontology.PROJECT_NATIVE_SIMULATION""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,b,f1b_fixed,evidence,Fixed-point integer reference,AVAILABLE_RESTRICTED,FIXED_POINT_INTEGER_REFERENCE,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""integer_contract""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,b,f1b_cxxrtl,evidence,CXXRTL pre-board qualification,AVAILABLE_RESTRICTED,CXXRTL_PREBOARD,1000000,cycles,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.cycles"",""aggregate_python.undefined_actions"",""aggregate_python.silent_overflow""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,b,f1b_pr,evidence,Three-seed place-and-route estimate,AVAILABLE_ESTIMATE,POST_ROUTE_ESTIMATE,39.13740921020508,MHz minimum Fmax estimate,"[""pr_report"",""pr_source""]","{""pr_report"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96"",""pr_source"":""4159c3ba7cd5c881ee290c0f116708781e30c752efa559a65336f717356956bb""}","[""profiles.route_a_core_no_student.summary""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,b,f1b_board,evidence,Physical-board measurement,BLOCKED_ALL_FIELDS_NULL,BOARD_MEASURED,42,null fields,"[""board_report"",""board_code""]","{""board_code"":""397c2dc76a7bba0d71a1b1582cddb01b385c8beee4429ea21d20ea322466352b"",""board_report"":""4f6ca1017777a1bf2955d5dec2bc3bb1eb46fa308c44b8652a5051dbe71fed80""}","[""measured_results"",""claim_boundary""]","[""BOARD_MEASURED_CORRECTNESS_LATENCY"",""FPGA_SPEED_ADVANTAGE""]"
Figure 1,c,f1c_pipeline,timing,source → action,CLOCK_MODEL_NOT_BOARD,CXXRTL_PREBOARD,6,cycles,"[""pr_report"",""rtl_report""]","{""pr_report"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""source_to_action_latency_model""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,c,f1c_ii,timing,initiation interval,CLOCK_MODEL_NOT_BOARD,CXXRTL_PREBOARD,1,cycles,"[""pr_report""]","{""pr_report"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96""}","[""source_to_action_latency_model.initiation_interval_cycles""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,c,f1c_update,timing,host update cadence,SOFTWARE_CONTRACT,PROJECT_NATIVE_SIMULATION,4000,cycles,"[""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""contract.parameter_update_period_cycles""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,c,f1c_board_latency,timing,board source-to-action latency,NULL_BLOCKED,BOARD_MEASURED,null,ns,"[""board_report""]","{""board_report"":""4f6ca1017777a1bf2955d5dec2bc3bb1eb46fa308c44b8652a5051dbe71fed80""}","[""measured_results.source_to_action_p50_ns""]","[""BOARD_MEASURED_CORRECTNESS_LATENCY""]"
Figure 2,a,f2a_syndrome,input,q/p syndrome codes,OBSERVED_ONLY,FIXED_POINT_INTEGER_REFERENCE,null,,"[""rtl_report"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""integer_contract"",""input""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,a,f2a_health,input,health / leakage / integrity flags,OBSERVED_ONLY,CXXRTL_PREBOARD,null,,"[""rtl_report"",""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.reasons"",""RouteACycleInput""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,a,f2a_version,input,version / CRC / age / ack,OBSERVED_ONLY,CXXRTL_PREBOARD,null,,"[""rtl_report"",""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.core_fault_bits"",""contract.max_parameter_age_cycles""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,b,f2b_smooth,regime,normal / smooth,IMPLEMENTED_POLICY_BRANCH,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""trace.reason_counts.normal_or_smooth_posterior""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,b,f2b_tail,regime,calibration shift / burst,IMPLEMENTED_POLICY_BRANCH,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""trace.reason_counts.calibration_shift_or_burst_posterior""]","[""TAIL_SAFETY_AND_IMPROVEMENT""]"
Figure 2,b,f2b_leakage,regime,leakage,IMPLEMENTED_POLICY_BRANCH,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report"",""rtl_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""trace.reason_counts.leakage_observed"",""aggregate_python.leakage_entries""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,b,f2b_integrity,regime,uncertainty / CRC / version,IMPLEMENTED_POLICY_BRANCH,CXXRTL_PREBOARD,null,,"[""policy_report"",""rtl_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""trace.reason_counts.posterior_uncertain"",""aggregate_python.integrity_entries""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,c,f2c_update,action,stage eligible adaptive image,TYPED_ACTION,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""trace.candidate_rows""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,c,f2c_trusted,action,freeze update; select trusted bank,TYPED_ACTION,CXXRTL_PREBOARD,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.actions.tail_ewma""]","[""TAIL_SAFETY_AND_IMPROVEMENT""]"
Figure 2,c,f2c_reset,action,leakage reset / frame hold,TYPED_ACTION,CXXRTL_PREBOARD,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.actions.leakage_reset""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,c,f2c_rollback,action,rollback to last-known-good,TYPED_ACTION,CXXRTL_PREBOARD,null,,"[""rtl_report"",""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.actions.integrity_rollback"",""trace.rollback_completed_cycles""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,d,f2d_candidate,transaction,candidate image: CRC/SHA/version,ATOMIC_PRECONDITION,FIXED_POINT_INTEGER_REFERENCE,null,,"[""policy_report"",""rtl_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""trace.candidate_rows"",""integer_contract""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,d,f2d_inactive,transaction,write inactive A/B bank,ATOMIC_PRECONDITION,CXXRTL_PREBOARD,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.selected_banks""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 2,d,f2d_commit,transaction,safe-boundary atomic commit,ATOMIC_PRECONDITION,CXXRTL_PREBOARD,null,,"[""rtl_report"",""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.commit_acks"",""trace.commit_versions""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 2,d,f2d_recover,transaction,LKG republish + recovery hysteresis,ATOMIC_PRECONDITION,CXXRTL_PREBOARD,8,windows,"[""rtl_report"",""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""integer_contract.recovery_hysteresis"",""trace.rollback_completed_cycles""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 2,e,f2e_v5,boundary,IMM / BOCPD; posterior-mixture MAP; V5 risk compiler,NOT_RUN_DROPPED,PROJECT_NATIVE_SIMULATION,20,dropped tasks,"[""v5_report"",""v5_source"",""v5_code""]","{""v5_code"":""4e2aa0b26f72e3d4c98797e260033472180332de54abd73a2b6c264edbe60dbb"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91"",""v5_source"":""c8bc2e14456bee1bdbe2bde2197c56a899976e14779984bfa5cd9eb50ceb162a""}","[""execution_path"",""dropped_tasks"",""claim_registry""]","[""V5-POSTERIOR-MIXTURE-ACTION"",""V5-UNTOUCHED-FORMAL""]"
Figure 2,e,f2e_v5_rtl,boundary,V5 quantized / formal / CXXRTL / P&R,NOT_RUN_DROPPED,CXXRTL_PREBOARD,null,,"[""v5_report""]","{""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91""}","[""claim_registry""]","[""V5-QUANTIZED-RETENTION"",""V5-LONG-CXXRTL"",""V5-FORMAL-ATOMIC-SAFETY"",""V5-MULTISEED-PR""]"
Figure 2,e,f2e_board,boundary,board latency / jitter / power,BLOCKED_NULL,BOARD_MEASURED,null,,"[""board_report"",""v5_report""]","{""board_report"":""4f6ca1017777a1bf2955d5dec2bc3bb1eb46fa308c44b8652a5051dbe71fed80"",""v5_report"":""f742bbde35e5e7509f77a84562bf21073d65d8a71135cabb23aed8014d149f91""}","[""measured_results"",""measured_hardware_claim""]","[""V5-MEASURED-HARDWARE"",""BOARD_MEASURED_CORRECTNESS_LATENCY""]"
