row_type,method_id,case_id,field,value,status
method_mismatch,legacy_cnn_residual,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,legacy_cnn_residual,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,proposed_route_a,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
schema_rejection,standard_binning,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,static_joint_map,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,window_map,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,ewma_adaptive_map,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,kalman_adaptive_map,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,legacy_cnn_residual,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,proposed_route_a,hidden_truth_key,observed_packet,hidden_truth_key_rejected,rejected
schema_rejection,,missing_field,route-a-observed-syndrome-v1,schema_keys_mismatch,rejected
schema_rejection,,extra_field,route-a-observed-syndrome-v1,schema_keys_mismatch,rejected
schema_rejection,,bool_as_integer,syndrome_code,integer_required,rejected
schema_rejection,,code_out_of_range,syndrome_code,integer_out_of_range,rejected
schema_rejection,,oracle_schema_on_deployable,schema_id,schema_id_mismatch,rejected
accounting_rejection,proposed_route_a,early_action,action_valid_cycle,action_latency_not_exact,rejected
accounting_rejection,proposed_route_a,late_action,action_valid_cycle,action_latency_not_exact,rejected
accounting_rejection,proposed_route_a,mac_overflow,update_macs,matched_budget_exceeded,rejected
accounting_rejection,proposed_route_a,state_overflow,private_model_state_bytes,matched_budget_exceeded,rejected
accounting_rejection,proposed_route_a,workspace_overflow,transient_workspace_bytes,matched_budget_exceeded,rejected
accounting_rejection,proposed_route_a,host_deadline_flag_missing,host_update_deadline_miss,host_deadline_flag_inconsistent,rejected
accounting_rejection,proposed_route_a,board_claim_before_measurement,board_measured_deadline_miss,board_measurement_not_available,rejected
accounting_rejection,proposed_route_a,work_when_update_not_due,update_due,cost_charged_when_update_not_due,rejected
accounting_rejection,hidden_state_oracle,oracle_in_deployable_ledger,method_id,accounting_method_not_deployable,rejected
gate,all,G01_contract_hash_recomputes,passed,True,PASS
gate,all,G02_exact_deployable_method_set,passed,True,PASS
gate,all,G03_all_canonical_manifests_conform,passed,True,PASS
gate,all,G04_all_methods_share_observed_schema,passed,True,PASS
gate,all,G05_all_methods_share_action_contracts,passed,True,PASS
gate,all,G06_oracle_physically_isolated,passed,True,PASS
gate,all,G07_hidden_truth_rejected_for_every_deployable,passed,True,PASS
gate,all,G08_all_schema_mutations_rejected,passed,True,PASS
gate,all,G09_each_method_each_contract_dimension_fails_fast,passed,True,PASS
gate,all,G10_wire_crc_and_roundtrip_verified,passed,True,PASS
gate,all,G11_lut_numeric_contract_exact,passed,True,PASS
gate,all,G12_joint_map_rtl_boundary_not_hidden,passed,True,PASS
gate,all,G13_bank_and_cadence_frozen,passed,True,PASS
gate,all,G14_all_accounting_witnesses_accept,passed,True,PASS
gate,all,G15_accounting_boundaries_and_mutations_fail_closed,passed,True,PASS
gate,all,G16_no_preboard_measured_deadline_claim,passed,True,PASS
gate,all,G17_all_source_bindings_exist_and_parent_pass,passed,True,PASS
