record_type,record_id,candidate_id,field,value,value_state,eligible,details
signature,legacy_static_theta_tinycnn:code_family,legacy_static_theta_tinycnn,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,legacy_static_theta_tinycnn:modes_or_distance,legacy_static_theta_tinycnn,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,legacy_static_theta_tinycnn:decision_target,legacy_static_theta_tinycnn,decision_target,static noise-parameter regression,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,legacy_static_theta_tinycnn:input_semantics,legacy_static_theta_tinycnn,input_semantics,single 32x32 histogram,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,legacy_static_theta_tinycnn:history_horizon,legacy_static_theta_tinycnn,history_horizon,one aggregated histogram,MISMATCH,False,required=registered causal per-round/window horizon
signature,legacy_static_theta_tinycnn:output_action,legacy_static_theta_tinycnn,output_action,sigma/mu_q/mu_p/theta estimates,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,legacy_static_theta_tinycnn:noise_model,legacy_static_theta_tinycnn,noise_model,static anisotropic Gaussian,MISMATCH,False,required=frozen parent secondary replay trace
signature,legacy_static_theta_tinycnn:observability,legacy_static_theta_tinycnn,observability,observed-only,MATCH,True,required=observed-only
signature,legacy_static_theta_tinycnn:online_privilege,legacy_static_theta_tinycnn,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,legacy_static_theta_tinycnn:time_basis,legacy_static_theta_tinycnn,time_basis,one estimate per dataset sample,MISMATCH,False,required=every registered decoded round
signature,legacy_static_theta_tinycnn:compute_budget,legacy_static_theta_tinycnn,compute_budget,unmatched host TinyCNN budget,MISMATCH,False,required=matched registered production decoder budget
signature,legacy_static_theta_tinycnn:precision,legacy_static_theta_tinycnn,precision,float32 checkpoint / NumPy float64,MISMATCH,False,required=production fixed-point
signature,legacy_static_theta_tinycnn:evidence_level,legacy_static_theta_tinycnn,evidence_level,project checkpoint not replayed because wrong action,MISMATCH,False,required=project checkpoint replay
candidate,t411_causal_tcn,t411_causal_tcn,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t411_causal_tcn:code_family,t411_causal_tcn,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t411_causal_tcn:modes_or_distance,t411_causal_tcn,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t411_causal_tcn:decision_target,t411_causal_tcn,decision_target,four-regime posterior classification,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t411_causal_tcn:input_semantics,t411_causal_tcn,input_semantics,14 observed summaries per non-overlapping window,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t411_causal_tcn:history_horizon,t411_causal_tcn,history_horizon,eight 32-cycle windows,MISMATCH,False,required=registered causal per-round/window horizon
signature,t411_causal_tcn:output_action,t411_causal_tcn,output_action,four-class regime posterior,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t411_causal_tcn:noise_model,t411_causal_tcn,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t411_causal_tcn:observability,t411_causal_tcn,observability,observed-only,MATCH,True,required=observed-only
signature,t411_causal_tcn:online_privilege,t411_causal_tcn,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t411_causal_tcn:time_basis,t411_causal_tcn,time_basis,one update per 32-cycle window,MISMATCH,False,required=every registered decoded round
signature,t411_causal_tcn:compute_budget,t411_causal_tcn,compute_budget,T4.1.1 slow-loop budget,MISMATCH,False,required=matched registered production decoder budget
signature,t411_causal_tcn:precision,t411_causal_tcn,precision,torch float32,MISMATCH,False,required=production fixed-point
signature,t411_causal_tcn:evidence_level,t411_causal_tcn,evidence_level,project checkpoint parent replay only,MISMATCH,False,required=project checkpoint replay
candidate,t411_small_gru,t411_small_gru,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t411_small_gru:code_family,t411_small_gru,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t411_small_gru:modes_or_distance,t411_small_gru,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t411_small_gru:decision_target,t411_small_gru,decision_target,four-regime posterior classification,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t411_small_gru:input_semantics,t411_small_gru,input_semantics,14 observed summaries per non-overlapping window,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t411_small_gru:history_horizon,t411_small_gru,history_horizon,eight 32-cycle windows,MISMATCH,False,required=registered causal per-round/window horizon
signature,t411_small_gru:output_action,t411_small_gru,output_action,four-class regime posterior,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t411_small_gru:noise_model,t411_small_gru,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t411_small_gru:observability,t411_small_gru,observability,observed-only,MATCH,True,required=observed-only
signature,t411_small_gru:online_privilege,t411_small_gru,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t411_small_gru:time_basis,t411_small_gru,time_basis,one update per 32-cycle window,MISMATCH,False,required=every registered decoded round
signature,t411_small_gru:compute_budget,t411_small_gru,compute_budget,T4.1.1 slow-loop budget,MISMATCH,False,required=matched registered production decoder budget
signature,t411_small_gru:precision,t411_small_gru,precision,torch float32,MISMATCH,False,required=production fixed-point
signature,t411_small_gru:evidence_level,t411_small_gru,evidence_level,project checkpoint parent replay only,MISMATCH,False,required=project checkpoint replay
candidate,t327_latest_outcome_fnn,t327_latest_outcome_fnn,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t327_latest_outcome_fnn:code_family,t327_latest_outcome_fnn,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t327_latest_outcome_fnn:modes_or_distance,t327_latest_outcome_fnn,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t327_latest_outcome_fnn:decision_target,t327_latest_outcome_fnn,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t327_latest_outcome_fnn:input_semantics,t327_latest_outcome_fnn,input_semantics,current observed g/e/leakage token plus static protocol features,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t327_latest_outcome_fnn:history_horizon,t327_latest_outcome_fnn,history_horizon,strict latest outcome only,MISMATCH,False,required=registered causal per-round/window horizon
signature,t327_latest_outcome_fnn:output_action,t327_latest_outcome_fnn,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t327_latest_outcome_fnn:noise_model,t327_latest_outcome_fnn,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t327_latest_outcome_fnn:observability,t327_latest_outcome_fnn,observability,observed-only,MATCH,True,required=observed-only
signature,t327_latest_outcome_fnn:online_privilege,t327_latest_outcome_fnn,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t327_latest_outcome_fnn:time_basis,t327_latest_outcome_fnn,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t327_latest_outcome_fnn:compute_budget,t327_latest_outcome_fnn,compute_budget,T3.2.7 matched history-controller parameter/MAC budget,MISMATCH,False,required=matched registered production decoder budget
signature,t327_latest_outcome_fnn:precision,t327_latest_outcome_fnn,precision,torch float64,MISMATCH,False,required=production fixed-point
signature,t327_latest_outcome_fnn:evidence_level,t327_latest_outcome_fnn,evidence_level,project controller checkpoint family,MISMATCH,False,required=project checkpoint replay
candidate,t3210_exponential_recurrence,t3210_exponential_recurrence,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t3210_exponential_recurrence:code_family,t3210_exponential_recurrence,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t3210_exponential_recurrence:modes_or_distance,t3210_exponential_recurrence,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t3210_exponential_recurrence:decision_target,t3210_exponential_recurrence,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t3210_exponential_recurrence:input_semantics,t3210_exponential_recurrence,input_semantics,observed g/e/leakage outcome token,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t3210_exponential_recurrence:history_horizon,t3210_exponential_recurrence,history_horizon,15-state exponential recurrence,MISMATCH,False,required=registered causal per-round/window horizon
signature,t3210_exponential_recurrence:output_action,t3210_exponential_recurrence,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t3210_exponential_recurrence:noise_model,t3210_exponential_recurrence,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t3210_exponential_recurrence:observability,t3210_exponential_recurrence,observability,observed-only,MATCH,True,required=observed-only
signature,t3210_exponential_recurrence:online_privilege,t3210_exponential_recurrence,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t3210_exponential_recurrence:time_basis,t3210_exponential_recurrence,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t3210_exponential_recurrence:compute_budget,t3210_exponential_recurrence,compute_budget,T3.2.10 O(15) recurrence budget,MISMATCH,False,required=matched registered production decoder budget
signature,t3210_exponential_recurrence:precision,t3210_exponential_recurrence,precision,torch float64,MISMATCH,False,required=production fixed-point
signature,t3210_exponential_recurrence:evidence_level,t3210_exponential_recurrence,evidence_level,project controller checkpoint family,MISMATCH,False,required=project checkpoint replay
candidate,t415_distilled_recurrence_student,t415_distilled_recurrence_student,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t415_distilled_recurrence_student:code_family,t415_distilled_recurrence_student,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t415_distilled_recurrence_student:modes_or_distance,t415_distilled_recurrence_student,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t415_distilled_recurrence_student:decision_target,t415_distilled_recurrence_student,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t415_distilled_recurrence_student:input_semantics,t415_distilled_recurrence_student,input_semantics,observed outcome and six health/validity fields,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t415_distilled_recurrence_student:history_horizon,t415_distilled_recurrence_student,history_horizon,15-state exponential recurrence,MISMATCH,False,required=registered causal per-round/window horizon
signature,t415_distilled_recurrence_student:output_action,t415_distilled_recurrence_student,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t415_distilled_recurrence_student:noise_model,t415_distilled_recurrence_student,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t415_distilled_recurrence_student:observability,t415_distilled_recurrence_student,observability,observed-only,MATCH,True,required=observed-only
signature,t415_distilled_recurrence_student:online_privilege,t415_distilled_recurrence_student,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t415_distilled_recurrence_student:time_basis,t415_distilled_recurrence_student,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t415_distilled_recurrence_student:compute_budget,t415_distilled_recurrence_student,compute_budget,T4.1.5 deterministic online student budget,MISMATCH,False,required=matched registered production decoder budget
signature,t415_distilled_recurrence_student:precision,t415_distilled_recurrence_student,precision,float64 JSON artifact,MISMATCH,False,required=production fixed-point
signature,t415_distilled_recurrence_student:evidence_level,t415_distilled_recurrence_student,evidence_level,project controller artifact,MISMATCH,False,required=project checkpoint replay
candidate,t441_bounded_residual_gru_teacher,t441_bounded_residual_gru_teacher,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision""]"
signature,t441_bounded_residual_gru_teacher:code_family,t441_bounded_residual_gru_teacher,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t441_bounded_residual_gru_teacher:modes_or_distance,t441_bounded_residual_gru_teacher,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t441_bounded_residual_gru_teacher:decision_target,t441_bounded_residual_gru_teacher,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t441_bounded_residual_gru_teacher:input_semantics,t441_bounded_residual_gru_teacher,input_semantics,protocol-specific observations or performance,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t441_bounded_residual_gru_teacher:history_horizon,t441_bounded_residual_gru_teacher,history_horizon,protocol-specific controller history,MISMATCH,False,required=registered causal per-round/window horizon
signature,t441_bounded_residual_gru_teacher:output_action,t441_bounded_residual_gru_teacher,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t441_bounded_residual_gru_teacher:noise_model,t441_bounded_residual_gru_teacher,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t441_bounded_residual_gru_teacher:observability,t441_bounded_residual_gru_teacher,observability,observed-only,MATCH,True,required=observed-only
signature,t441_bounded_residual_gru_teacher:online_privilege,t441_bounded_residual_gru_teacher,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t441_bounded_residual_gru_teacher:time_basis,t441_bounded_residual_gru_teacher,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t441_bounded_residual_gru_teacher:compute_budget,t441_bounded_residual_gru_teacher,compute_budget,controller-specific unmatched budget,MISMATCH,False,required=matched registered production decoder budget
signature,t441_bounded_residual_gru_teacher:precision,t441_bounded_residual_gru_teacher,precision,source/project controller precision,MISMATCH,False,required=production fixed-point
signature,t441_bounded_residual_gru_teacher:evidence_level,t441_bounded_residual_gru_teacher,evidence_level,project checkpoint replay,MATCH,True,required=project checkpoint replay
candidate,t443_distilled_state4_student,t443_distilled_state4_student,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t443_distilled_state4_student:code_family,t443_distilled_state4_student,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t443_distilled_state4_student:modes_or_distance,t443_distilled_state4_student,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t443_distilled_state4_student:decision_target,t443_distilled_state4_student,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t443_distilled_state4_student:input_semantics,t443_distilled_state4_student,input_semantics,observed binary outcome and health flags,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t443_distilled_state4_student:history_horizon,t443_distilled_state4_student,history_horizon,four-state exponential recurrence,MISMATCH,False,required=registered causal per-round/window horizon
signature,t443_distilled_state4_student:output_action,t443_distilled_state4_student,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t443_distilled_state4_student:noise_model,t443_distilled_state4_student,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t443_distilled_state4_student:observability,t443_distilled_state4_student,observability,observed-only,MATCH,True,required=observed-only
signature,t443_distilled_state4_student:online_privilege,t443_distilled_state4_student,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t443_distilled_state4_student:time_basis,t443_distilled_state4_student,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t443_distilled_state4_student:compute_budget,t443_distilled_state4_student,compute_budget,T4.4.3/T5.5.4 controller budget,MISMATCH,False,required=matched registered production decoder budget
signature,t443_distilled_state4_student:precision,t443_distilled_state4_student,precision,float64 artifact and Q3.14 RTL side evidence,MISMATCH,False,required=production fixed-point
signature,t443_distilled_state4_student:evidence_level,t443_distilled_state4_student,evidence_level,project controller artifact,MISMATCH,False,required=project checkpoint replay
candidate,t545_horizon_student_family,t545_horizon_student_family,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t545_horizon_student_family:code_family,t545_horizon_student_family,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t545_horizon_student_family:modes_or_distance,t545_horizon_student_family,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t545_horizon_student_family:decision_target,t545_horizon_student_family,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t545_horizon_student_family:input_semantics,t545_horizon_student_family,input_semantics,observed binary outcome stream,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t545_horizon_student_family:history_horizon,t545_horizon_student_family,history_horizon,2/5/10/32-cycle trained recurrent candidates,MISMATCH,False,required=registered causal per-round/window horizon
signature,t545_horizon_student_family:output_action,t545_horizon_student_family,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t545_horizon_student_family:noise_model,t545_horizon_student_family,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t545_horizon_student_family:observability,t545_horizon_student_family,observability,observed-only,MATCH,True,required=observed-only
signature,t545_horizon_student_family:online_privilege,t545_horizon_student_family,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t545_horizon_student_family:time_basis,t545_horizon_student_family,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t545_horizon_student_family:compute_budget,t545_horizon_student_family,compute_budget,T5.4.5 diagnostic horizon budget,MISMATCH,False,required=matched registered production decoder budget
signature,t545_horizon_student_family:precision,t545_horizon_student_family,precision,torch float64/float32 stability replay,MISMATCH,False,required=production fixed-point
signature,t545_horizon_student_family:evidence_level,t545_horizon_student_family,evidence_level,project controller checkpoint family,MISMATCH,False,required=project checkpoint replay
candidate,t554_quantized_gru_shadow,t554_quantized_gru_shadow,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t554_quantized_gru_shadow:code_family,t554_quantized_gru_shadow,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t554_quantized_gru_shadow:modes_or_distance,t554_quantized_gru_shadow,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t554_quantized_gru_shadow:decision_target,t554_quantized_gru_shadow,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t554_quantized_gru_shadow:input_semantics,t554_quantized_gru_shadow,input_semantics,protocol-specific observations or performance,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t554_quantized_gru_shadow:history_horizon,t554_quantized_gru_shadow,history_horizon,protocol-specific controller history,MISMATCH,False,required=registered causal per-round/window horizon
signature,t554_quantized_gru_shadow:output_action,t554_quantized_gru_shadow,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t554_quantized_gru_shadow:noise_model,t554_quantized_gru_shadow,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t554_quantized_gru_shadow:observability,t554_quantized_gru_shadow,observability,observed-only,MATCH,True,required=observed-only
signature,t554_quantized_gru_shadow:online_privilege,t554_quantized_gru_shadow,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t554_quantized_gru_shadow:time_basis,t554_quantized_gru_shadow,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t554_quantized_gru_shadow:compute_budget,t554_quantized_gru_shadow,compute_budget,"72,854-cycle optimistic lower-bound workload",MISMATCH,False,required=matched registered production decoder budget
signature,t554_quantized_gru_shadow:precision,t554_quantized_gru_shadow,precision,int8 weights/Q3.14 state functional shadow,MISMATCH,False,required=production fixed-point
signature,t554_quantized_gru_shadow:evidence_level,t554_quantized_gru_shadow,evidence_level,project nonfunctional RTL workload,MISMATCH,False,required=project checkpoint replay
candidate,t237_project_nmf_controller,t237_project_nmf_controller,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,t237_project_nmf_controller:code_family,t237_project_nmf_controller,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,t237_project_nmf_controller:modes_or_distance,t237_project_nmf_controller,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,t237_project_nmf_controller:decision_target,t237_project_nmf_controller,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,t237_project_nmf_controller:input_semantics,t237_project_nmf_controller,input_semantics,binary ancilla history,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,t237_project_nmf_controller:history_horizon,t237_project_nmf_controller,history_horizon,recurrent controller history,MISMATCH,False,required=registered causal per-round/window horizon
signature,t237_project_nmf_controller:output_action,t237_project_nmf_controller,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,t237_project_nmf_controller:noise_model,t237_project_nmf_controller,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,t237_project_nmf_controller:observability,t237_project_nmf_controller,observability,observed-only,MATCH,True,required=observed-only
signature,t237_project_nmf_controller:online_privilege,t237_project_nmf_controller,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,t237_project_nmf_controller:time_basis,t237_project_nmf_controller,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,t237_project_nmf_controller:compute_budget,t237_project_nmf_controller,compute_budget,controller-specific unmatched budget,MISMATCH,False,required=matched registered production decoder budget
signature,t237_project_nmf_controller:precision,t237_project_nmf_controller,precision,torch float64,MISMATCH,False,required=production fixed-point
signature,t237_project_nmf_controller:evidence_level,t237_project_nmf_controller,evidence_level,project controller checkpoint,MISMATCH,False,required=project checkpoint replay
candidate,gqf_official_nmf_controller,gqf_official_nmf_controller,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,gqf_official_nmf_controller:code_family,gqf_official_nmf_controller,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,gqf_official_nmf_controller:modes_or_distance,gqf_official_nmf_controller,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,gqf_official_nmf_controller:decision_target,gqf_official_nmf_controller,decision_target,history/performance to physical-control update,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,gqf_official_nmf_controller:input_semantics,gqf_official_nmf_controller,input_semantics,protocol-specific observations or performance,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,gqf_official_nmf_controller:history_horizon,gqf_official_nmf_controller,history_horizon,protocol-specific controller history,MISMATCH,False,required=registered causal per-round/window horizon
signature,gqf_official_nmf_controller:output_action,gqf_official_nmf_controller,output_action,continuous physical-control parameters,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,gqf_official_nmf_controller:noise_model,gqf_official_nmf_controller,noise_model,frozen parent secondary replay trace,MATCH,True,required=frozen parent secondary replay trace
signature,gqf_official_nmf_controller:observability,gqf_official_nmf_controller,observability,observed-only,MATCH,True,required=observed-only
signature,gqf_official_nmf_controller:online_privilege,gqf_official_nmf_controller,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,gqf_official_nmf_controller:time_basis,gqf_official_nmf_controller,time_basis,per control half-cycle/epoch,MISMATCH,False,required=every registered decoded round
signature,gqf_official_nmf_controller:compute_budget,gqf_official_nmf_controller,compute_budget,controller-specific unmatched budget,MISMATCH,False,required=matched registered production decoder budget
signature,gqf_official_nmf_controller:precision,gqf_official_nmf_controller,precision,source/project controller precision,MISMATCH,False,required=production fixed-point
